Name,Address,,,,,City
Half Door Brewing Co.,903 Island Avenue, San Diego, CA 92101,,,San Diego
Helia Brewing,1250 Keystone Way, Vista, CA 92081,,,Vista
Helix Brewing Co.,8101 Commercial Street, La Mesa, CA 91942,,,La Mesa
Helm's Brewing,5640 Kearny Mesa Rd, Suite C/N, San Diego, CA 92111,,San Diego
Hillcrest Brewing Company,1458 University Ave, San Diego, CA 92103,,,San Diego
Hodad's Brewing Co.,9726 Aero Dr suite b, San Diego, CA 92123,,,San Diego
Home Brewing Co,2911 El Cajon Blvd Space #2, San Diego, CA 92104,,,San Diego
Horus Aged Ales,4040 Calle Platino Suite 120, Oceanside, CA 92056,,,Oceanside
Indian Joe Brewing,2123 Industrial Ct, Vista, CA 92081,,,Vista
Iron Fist Brewing Company,1305 Hot Spring Way #101, Vista, CA 92081,,,Vista
Jacked Up Brewing,800 West Grand Ave, Escondido, CA 92025,,,Escondido
Jamul Brewing Co.,Jamul, CA 91935,,,,Jamul
Julian Beer Co.,2307 Main Street, Julian, CA 92036,,,Julian
Karl Strauss,5985 Santa Fe Street, San Diego, CA 92109,,,San Diego
Karl Strauss 4S Ranch,10448 Reserve Drive, San Diego, CA 92127,,,San Diego
Karl Strauss Carlsbad,5801 Armada Drive, Carlsbad, CA 92008,,,Carlsbad
Karl Strauss Downtown,1157 Columbia Street, San Diego, CA 92101,,,San Diego
Karl Strauss La Jolla,1044 Wall Street, La Jolla, CA 92037,,,La Jolla
Karl Strauss Sorrento Mesa,9675 Scranton Rd, San Diego, CA 92121,,,San Diego
Kensington Brewing Company,5839 Mission Gorge Rd, Ste E San Diego, CA 92120,,,San Diego
Ketch Brewing,7889 Ostrow Street, San Diego, CA 92111,,,San Diego
Kilowatt Brewing Company,7576 Clairemont Mesa Blvd, San Diego, CA 92111,,,San Diego
KnB Brewery,6380 Del Cerro Blvd, San Diego, CA 92120,,,San Diego
Knotty Brewing Co.,842 Market St, San Diego, CA 92101,,,San Diego
Latitude 33 Brewing Company,1430 Vantage Court, Suite 104, Vista, CA 92081,,Vista
Legacy Brewing Company,363 Airport Road, Oceanside, CA 92058,,,Oceanside
Lightning Brewery,13200 Kirkham Way Ste 106, Poway, CA 92064,,,Poway
Little Miss Brewing,7649 Stromesa Ct, Suite Y, San Diego, CA 92126,,San Diego
Longship Brewery,10320 Camino Santa Fe, San Diego, CA 92121,,,San Diego
Mason Ale Works,2002 S Coast Hwy, Oceanside, CA,92054,,Oceanside
Mason Ale Works,255 Redel Rd, San Marcos, CA 92078,,,San Marcos
Melvin Brewing Co.,634 14th Street Suite 110, San Diego, CA 92101,,,San Diego
Midnight Jack Brewing Company,3801 Oceanic Dr, Oceanside, CA 92058,,,Oceanside
Mike Hess Brewing,3812 Grim Avenue, San Diego, CA 92104,,,San Diego
Mikkeller Brewing San Diego,9368 Cabbot Dr, San Diego, CA 92126,,,San Diego
Mission Brewery,1441 L Street, San Diego, CA 92101,,,San Diego
Modern Times,3725 Greenwood Street, San Diego, CA 92110,,,San Diego
Mother Earth Brew Company,2055 Thibodo Road, Suite H, Vista, CA 92081,,Vista
New English Brewing Company,11545 Sorrento Valley Road, Suite 305, San Diego, CA 92121,,San Diego
Nickel Beer Company,1485 Hollow Glen Road, Julian, CA 92036,,,Julian
North Park Beer Co,3038 University Ave, San Diego, CA 92104,,,San Diego
Northern Pine Brewing Company,326 N. Horne, Oceanside, CA 92054,,,Oceanside
Novo Brazil Brewing Co.,901 Lane Av, Chula Vista, CA 91914,,,Chula Vista
OB Brewery,5041 Newport Ave, San Diego, CA 92107,,,San Diego
Oceanside Brewing Company,312 Via Del Norte, Oceanside, CA 92058,,,Oceanside
Oggi's Carmel Mountain Ranch,10155 Rancho Carmel Dr, San Diego, CA 92128,,,San Diego
Pacific Beach Ale House,721 Grand Avenue, San Diego, CA 92109,,,San Diego
Pacific Islander Beer Co.,8665 Argent St Ste B, Santee, CA 92071,,,Santee
Papa Marce's Cerveceria,5840 El Camino Real Ste. 100, Carlsbad, CA 92008,,,Carlsbad
Pariah Brewing Company,3052 El Cajon Blvd, Suite B, San Diego, CA 92104,,San Diego
Pizza Port Bressi Ranch,2730 Gateway Road, Carlsbad, CA 92009,,,Carlsbad
Pizza Port Carlsbad,571 Carlsbad Village Drive, Carlsbad, CA 92008,,,Carlsbad
Pizza Port Ocean Beach,1956 Bacon Street, San Diego, CA 92107,,,San Diego
Pizza Port Solana Beach,135 North Highway 101, Solana Beach, CA 92075,,,Solana Beach
Plan 9 Ale House,155 E. Grand Avenue, Escondido, CA 92025,,,Escondido
Poor House Brewing Co,4494 30th Street, San Diego, CA 92116,,,San Diego
Port Brewing / The Lost Abbey,155 Mata Way #104, San Marcos, CA 92069,,,San Marcos
Prohibition Brewing Company,2004 E. Vista Way, Vista, CA 92084,,,Vista
Protector Brewery,8680 Miralani Dr #128, San Diego, CA 92126,,,San Diego
Pure Project Brewing,9030 Kenamar Dr #308, San Diego, Ca 92121,,,San Diego
Quantum Brewing Co.,5375 Kearny Villa Road #116, San Diego, CA 92123,,,San Diego
Reckless Brewing Co.,9040 Carroll Way, Suite 8, San Diego, CA 92121,,San Diego
Resident Brewing Co.,411 C St, San Diego, CA 92101,,,San Diego
Rip Current Brewing Co.,1325 Grand Avenue #100, San Marcos, CA 92078,,,San Marcos
Rock Bottom Brewery Restaurant La Jolla,8980 Villa La Jolla Drive, San Diego, CA 92037,,,San Diego
Rough Draft Brewing Company,8830 Rehco Rd. Suite D, San Diego, CA 92121,,,San Diego
Rouleur Brewing Company,5840 El Camino Real, Suite 101, Carlsbad, CA 92008,,Carlsbad
San Diego Brewing Company,10450 Friars Rd. Ste. L, San Diego, CA 92120,,,San Diego
San Marcos Brewery & Grill,1080 W. San Marcos Blvd. #108, San Marcos, CA 92078,,,San Marcos
Savagewood Brewing,9879 Hibert St, Suite F, San Diego, CA 92131,,San Diego
Second Chance Beer Co.,15378 Avenue of Science #222, San Diego, CA 92128,,,San Diego
Smoking Cannon Brewery,780 Main St, Ramona, CA 92065,,,Ramona
Societe Brewing Co.,8262 Clairemont Mesa Blvd, San Diego, CA 92111,,,San Diego
South Park Brewing Co.,1517 30th Street, San Diego, CA 92102,,,San Diego
SR76 Brewery,777 Harrah's Rincon Way, Valley Center, CA 92082,,,Valley Center
St. Archer Brewing Co.,9550 Distribution Ave., San Diego, CA 92121,,,San Diego
Stone Brewing Company,1999 Citracado Parkway, Escondido, CA 92029,,,Escondido
Stone Brewing World Bistro and Gardens Liberty Station,2816 Historic Decatur Rd #116‎, San Diego, CA 92106,,,San Diego
Stumblefoot Brewing Company,1784 La Costa Meadows Dr #103, San Marcos, CA 92078,,,San Marcos
The Bell Marker,602 Broadway, San Diego, CA 92101,,,San Diego
Thorn Brewing - North Park,3176 Thorn St., San Diego, CA 92104,,,San Diego
Thorn Brewing - Barrio Logan,1745 National Ave, Barrio Logan, CA 92113,,,Barrio Logan
Thr3e Punks Ales Brewing Co.,259 3rd Ave, Chula Vista, CA 91910,,,Chula Vista
Thunderhawk Alements,8675 Miralani Dr, Suite 100, San Diego, CA 92126,,San Diego
Viewpoint Brewing Co.,2201 San Dieguito Dr, Del Mar, CA 92014,,,Del Mar
Wavelength Brewing Co.,236 Main Street, Vista, CA 92084,,,Vista
White Labs,9495 Candida Street, San Diego, CA 92126,,,San Diego
Wild Barrel Brewing,692 Rancheros Dr, San Marcos, CA 92069,,,San Marcos
