Ketch Brewing,"7889 Ostrow Street, San Diego, CA 92111"
Kilowatt Brewing Company,"7576 Clairemont Mesa Blvd, San Diego, CA 92111"
KnB Brewery,"6380 Del Cerro Blvd, San Diego, CA 92120"
Knotty Brewing Co.,"842 Market St, San Diego, CA 92101"
Latitude 33 Brewing Company,"1430 Vantage Court, Suite 104, Vista, CA 92081"
Legacy Brewing Company,"363 Airport Road Oceanside, CA 92058"
Lightning Brewery,"13200 Kirkham Way Ste 106, Poway, CA 92064"
Little Miss Brewing,"7649 Stromesa Ct, Suite Y, San Diego, CA 92126"
Longship Brewery,"10320 Camino Santa Fe, San Diego, CA 92121"
Mason Ale Works,"2002 S Coast Hwy, Oceanside, CA, 92054"
Mason Ale Works,"255 Redel Rd, San Marcos, CA 92078"
Melvin Brewing Co.,"634 14th Street Suite 110, San Diego, CA 92101"
Midnight Jack Brewing Company,"3801 Oceanic Dr, Oceanside, CA 92058"
Mike Hess Brewing,"3812 Grim Avenue, San Diego, CA 92104"
Mikkeller Brewing San Diego,"9368 Cabbot Dr, San Diego, CA 92126"
Mission Brewery,"1441 L Street, San Diego, CA 92101"
Modern Times,"3725 Greenwood Street, San Diego, CA 92110"
Mother Earth Brew Company,"2055 Thibodo Road, Suite H, Vista, CA 92081"
New English Brewing Company,"11545 Sorrento Valley Road, Suite 305, San Diego, CA 92121"
Nickel Beer Company,"1485 Hollow Glen Road, Julian, CA 92036"
North Park Beer Co,"3038 University Ave, San Diego, CA 92104"
Northern Pine Brewing Company,"326 N. Horne, Oceanside, CA 92054"
Novo Brazil Brewing Co.,"901 Lane Av, Chula Vista, CA 91914"
OB Brewery,"5041 Newport Ave, San Diego, CA 92107"
Oceanside Brewing Company,"312 Via Del Norte, Oceanside, CA 92058"
Oggi's Carmel Mountain Ranch,"10155 Rancho Carmel Dr, San Diego, CA 92128"
Pacific Beach Ale House,"721 Grand Avenue, San Diego, CA 92109"
Pacific Islander Beer Co.,"8665 Argent St Ste B, Santee, CA 92071"
Papa Marce's Cerveceria,"5840 El Camino Real Ste. 100, Carlsbad, CA 92008"
Pariah Brewing Company,"3052 El Cajon Blvd, Suite B, San Diego, CA 92104"
Pizza Port Bressi Ranch,"2730 Gateway Road, Carlsbad, CA 92009"
Pizza Port Carlsbad,"571 Carlsbad Village Drive, Carlsbad, CA 92008"
Pizza Port Ocean Beach,"1956 Bacon Street, San Diego CA 92107"
Pizza Port Solana Beach,"135 North Highway 101, Solana Beach, 92075"
Plan 9 Ale House,"155 E. Grand Avenue, Escondido, CA 92025"
Poor House Brewing Co,"4494 30th Street, San Diego, CA 92116"
Port Brewing / The Lost Abbey,"155 Mata Way #104, San Marcos, CA 92069"
Prohibition Brewing Company,"2004 E. Vista Way Vista, CA 92084"
Protector Brewery,"8680 Miralani Dr #128, San Diego, CA 92126"
Pure Project Brewing,"9030 Kenamar Dr #308 San Diego, Ca 92121"
Quantum Brewing Co.,"5375 Kearny Villa Road #116, San Diego, CA 92123"
Reckless Brewing Co.,"9040 Carroll Way, Suite 8, San Diego, CA 92121"
Resident Brewing Co.,"411 C St, San Diego, CA 92101"
Rip Current Brewing Co.,"1325 Grand Avenue #100, San Marcos, CA 92078"
Rock Bottom Brewery Restaurant La Jolla,"8980 Villa La Jolla Drive, San Diego, CA 92037"
Rough Draft Brewing Company,"8830 Rehco Rd. Suite D, San Diego CA 92121"
Rouleur Brewing Company,"5840 El Camino Real, Suite 101, Carlsbad, CA 92008"
San Diego Brewing Company,"10450 Friars Rd. Ste. L, San Diego, CA 92120"
San Marcos Brewery & Grill,"1080 W. San Marcos Blvd. #108, San Marcos, CA 92078"
Savagewood Brewing,"9879 Hibert St, Suite F, San Diego, CA 92131"
Second Chance Beer Co.,"15378 Avenue of Science #222, San Diego, CA 92128"
Smoking Cannon Brewery,"780 Main St, Ramona, CA 92065"
Societe Brewing Co.,"8262 Clairemont Mesa Blvd San Diego, CA 92111"
South Park Brewing Co.,"1517 30th Street, San Diego, CA 92102"
SR76 Brewery,"777 Harrah's Rincon Way, Valley Center, CA 92082"
St. Archer Brewing Co.,"9550 Distribution Ave. San Diego, CA 92121"
Stone Brewing Company,"1999 Citracado Parkway, Escondido, CA 92029"
Stone Brewing World Bistro and Gardens Liberty Station,"2816 Historic Decatur Rd #116‎, San Diego, CA 92106"
Stumblefoot Brewing Company,"1784 La Costa Meadows Dr #103, San Marcos, CA 92078"
The Bell Marker,"602 Broadway, San Diego, CA 92101"
Thorn Brewing - North Park,"3176 Thorn St., San Diego, CA 92104"
Thorn Brewing - Barrio Logan,"1745 National Ave, Barrio Logan, CA 92113"
Thr3e Punks Ales Brewing Co.,"259 3rd Ave, Chula Vista, CA 91910"
Thunderhawk Alements,"8675 Miralani Dr, Suite 100, San Diego, CA 92126"
Viewpoint Brewing Co.,"2201 San Dieguito Dr, Del Mar, CA 92014"
Wavelength Brewing Co.,"236 Main Street, Vista, CA 92084"
White Labs,"9495 Candida Street, San Diego, CA 92126"
Wild Barrel Brewing,"692 Rancheros Dr, San Marcos, CA 92069"
