,Medal,Beer Name,Brewery,City,State,County,Category,Year
48,Gold,Miner's Gold,Lewis & Clark Brewing Co.,Helena,MT,Lewis and Clark,American-Style Wheat Beer with Yeast,2018
49,Silver,Fuzztail,Sunriver Brewing,Sunriver,OR,Deschutes,American-Style Wheat Beer with Yeast,2018
50,Bronze,Hefeweizen,Widmer Brothers Brewing,Portland,OR,Multnomah,American-Style Wheat Beer with Yeast,2018
51,Gold,Sunshine Express,Butcherknife Brewing Co.,Steamboat Springs,CO,Routt,Australian-Style Pale Ale,2018
52,Silver,Strata IPA,Worthy Brewing Co.,Bend,OR,Deschutes,Australian-Style Pale Ale,2018
53,Bronze,Flavor Country,Austin Beerworks,Austin,TX,Travis,Australian-Style Pale Ale,2018
54,Gold,Odin's Sword,Big Island Brewhaus,Kamuela,HI,NOT KNOWN,Baltic-Style Porter,2018
55,Silver,Death and the Maiden,Cambridge Brewing Co.,Cambridge,MA,Middlesex,Baltic-Style Porter,2018
56,Bronze,Bangor Slate Baltic Porter,Two Rivers Brewing Co.,Easton,PA,Northampton,Baltic-Style Porter,2018
57,Gold,Chicago Overcoat,Midnight Pig Beer,Plainfield,IL,Will,Barley Wine-Style Ale,2018
58,Silver,Barnacled Manatee,Walking Tree Brewery,Vero Beach,FL,Indian River,Barley Wine-Style Ale,2018
59,Bronze,Bear Temper,Trustworthy Brewing Co.,Burbank,CA,Los Angeles,Barley Wine-Style Ale,2018
60,Gold,5 Branches Biere de Garde,Munkle Brewing Co.,Charleston,SC,Charleston,Belgian- and French-Style Ale,2018
61,Silver,Biere de Garde,Blackberry Farm Brewery,Walland,TN,Blount,Belgian- and French-Style Ale,2018
62,Bronze,Abby Blonde,Thirsty Monk Pub Brewery,Denver,CO,Denver,Belgian- and French-Style Ale,2018
63,Gold,Jean-Claude Van Blond,Wit's End Brewing Co.,Denver,CO,Denver,Belgian-Style Blonde Ale or Pale Ale,2018
64,Silver,Singel,Hardywood West Creek,Richmond,VA,Richmond (city),Belgian-Style Blonde Ale or Pale Ale,2018
65,Bronze,Blonde Betty,Smuggler's Brewpub,Telluride,CO,San Miguel,Belgian-Style Blonde Ale or Pale Ale,2018
66,Gold,BJ's Quad,BJ's Restaurant & Brewery - Boulder,Boulder,CO,Boulder,Belgian-Style Dubbel or Quadrupel,2018
67,Silver,Kung Fu Smurf,Bastone Brewery,Royal Oak,MI,Oakland,Belgian-Style Dubbel or Quadrupel,2018
68,Bronze,Deduction,Taxman Brewing Co.,Bargersville,IN,Johnson,Belgian-Style Dubbel or Quadrupel,2018
69,Gold,Foxy Lady,Silver City Brewery,Bremerton,WA,Kitsap,Belgian-Style Fruit Beer,2018
70,Silver,Blood-Orange Wit,Great Basin Brewing Co. - Sparks,Sparks,NV,Washoe,Belgian-Style Fruit Beer,2018
71,Bronze,Kumquat Saison,Smog City Brewing Wood Cellar,Torrance,CA,Los Angeles,Belgian-Style Fruit Beer,2018
72,Gold,Funk Yeah,Beachwood Blendery,Long Beach,CA,Los Angeles,Belgian-Style Lambic or Sour Ale,2018
73,Silver,Triad,IMBIB Custom Brews,Reno,NV,Washoe,Belgian-Style Lambic or Sour Ale,2018
74,Bronze,I Am Only Memories,Orpheus Brewing,Atlanta,GA,Fulton,Belgian-Style Lambic or Sour Ale,2018
75,Gold,Midwatch,Figurehead Brewing Co.,Seattle,WA,King,Belgian-Style Strong Specialty Ale,2018
76,Silver,Qualified,Taxman Brewing Co.,Bargersville,IN,Johnson,Belgian-Style Strong Specialty Ale,2018
77,Bronze,Sol Hominis (The Sun Of Man),Save the World Brewing Co.,Marble Falls,TX,Burnet,Belgian-Style Strong Specialty Ale,2018
78,Gold,Tripel Carmel-ite,Flix Brewhouse - Carmel,Carmel,IN,Hamilton,Belgian-Style Tripel,2018
79,Silver,Belgian Tripel,Village Idiot Brewing Co.,Mount Holly,NJ,Burlington,Belgian-Style Tripel,2018
80,Bronze,Neighbor Girl,Paradigm Shift Brewing,Massillon,OH,Stark,Belgian-Style Tripel,2018
81,Gold,Biére Blanche,Pedal Haus Brewery,Tempe,AZ,Maricopa,Belgian-Style Witbier,2018
82,Silver,Optimal Wit,Port City Brewing Co.,Alexandria,VA,Alexandria (city),Belgian-Style Witbier,2018
83,Bronze,Allagash White,Allagash Brewing Co.,Portland,ME,Cumberland,Belgian-Style Witbier,2018
84,Gold,Baywindow,10 Barrel Brewing Co.,Bend,OR,Deschutes,Berliner-Style Weisse,2018
85,Silver,Germophile,Rowley Farmhouse Ales,Santa Fe,NM,Santa Fe,Berliner-Style Weisse,2018
86,Bronze,Nevada Weisse,IMBIB Custom Brews,Reno,NV,Washoe,Berliner-Style Weisse,2018
87,Gold,Guten Bock,Gilded Goat Brewing Co.,Fort Collins,CO,Larimer,Bock,2018
88,Silver,New Kids on Maibock,Independent Brewing Co.,Bel Air,MD,Harford,Bock,2018
89,Bronze,Blind Tiger Bock,Blind Tiger Brewery & Restaurant,Topeka,KS,Shawnee,Bock,2018
90,Gold,Bohemian Pilsner,Gordon Biersch Brewery Restaurant - Tysons Corner,Broomfield,CO,Broomfield,Bohemian-Style Pilsener,2018
91,Silver,Pompey's Pilsner,Lewis & Clark Brewing Co.,Helena,MT,Lewis and Clark,Bohemian-Style Pilsener,2018
92,Bronze,Bird Park,North Park Beer Co.,San Diego,CA,San Diego,Bohemian-Style Pilsener,2018
93,Gold,C'mon Sunshine,Birds Fly South Ale Project,Greenville,SC,Greenville,Brett Beer,2018
94,Silver,Terroir Pinot Gris,Alesong Brewing & Blending,Eugene,OR,Lane,Brett Beer,2018
95,Bronze,Touch of Brett Mandarina,Alesong Brewing & Blending,Eugene,OR,Lane,Brett Beer,2018
96,Gold,Maduro Brown Ale,Cigar City Brewing,Tampa,FL,Hillsborough,Brown Porter,2018
97,Silver,Brown Claw,Kern River Brewing Co.,Kernville,CA,Kern,Brown Porter,2018
98,Bronze,Knee-Knocker Porter,Crow Hop Brewing Co.,Loveland,CO,Larimer,Brown Porter,2018
99,Gold,White Legs Jalapeno Wheat,Tribute Brewing Co.,Eagle River,WI,Vilas,Chili Beer,2018
100,Silver,Chamuco,Künstler Brewing,San Antonio,TX,Bexar,Chili Beer,2018
101,Bronze,San Antonio Hatch Lager,Ranger Creek Brewery,San Antonio,TX,Bexar,Chili Beer,2018
102,Gold,Coco for Coxness,Copperpoint Brewing Co.,Boynton Beach,FL,Palm Beach,Chocolate Beer,2018
103,Silver,Genesee Brew House Pilot Batch DarkChocolate Scotch Ale,Genesee Brew House,Rochester,NY,Monroe,Chocolate Beer,2018
104,Bronze,Chocolate Macadamia Nut Stout,Kilowatt Brewing,San Diego,CA,San Diego,Chocolate Beer,2018
105,Gold,Pale Ale,Omission Brewing Co.,Portland,OR,Multnomah,Classic English-Style Pale Ale,2018
106,Silver,MacTarnahan’s Amber Ale,Portland Brewing Co.,Portland,OR,Multnomah,Classic English-Style Pale Ale,2018
107,Bronze,Prickly Pear,Lewis & Clark Brewing Co.,Helena,MT,Lewis and Clark,Classic English-Style Pale Ale,2018
108,Gold,Shooter McMunn's,Lost Rhino Brewing Co.,Ashburn,VA,Loudoun,Classic Irish-Style Dry Stout,2018
109,Silver,It's My Island,Pocock Brewing Co.,Santa Clarita,CA,Los Angeles,Classic Irish-Style Dry Stout,2018
110,Bronze,Know Ego,Groundswell Brewing Co.,Santee,CA,San Diego,Classic Irish-Style Dry Stout,2018
111,Gold,Saison,Bent Paddle Brewing Co.,Duluth,MN,St. Louis,Classic Saison,2018
112,Silver,One Arm Farmhouse Ale,Hobbs Tavern & Brewing Co.,West Ossipee,NH,NOT KNOWN,Classic Saison,2018
113,Bronze,Hayshaker,Gunwhale Ales,Costa Mesa,CA,Orange,Classic Saison,2018
114,Gold,Coffee Cream Ale,Kiitos Brewing,Salt Lake City,UT,Salt Lake,Coffee Beer,2018
115,Silver,Mystery Airship 4.0: Temple Cascara Golden Ale,New Helvetia Brewing Co.,Sacramento,CA,Sacramento,Coffee Beer,2018
116,Bronze,First Call,Modist Brewing Co.,Minneapolis,MN,Hennepin,Coffee Beer,2018
117,Gold,Speargun,Snake River Brewing Co.,Jackson,WY,Teton,Coffee Stout or Porter,2018
118,Silver,Breakfast Stout,Founders Brewing Co.,Grand Rapids,MI,Kent,Coffee Stout or Porter,2018
119,Bronze,Udder Chaos,RAM Restaurant & Brewery - Seattle,Seattle,WA,King,Coffee Stout or Porter,2018
120,Gold,Iron Horse Lager,Great American Restaurants - Sweetwater Tavern Centreville,Centreville,VA,Fairfax,Dark Lager,2018
121,Silver,The Bennie,Granite City Food & Brewery,Olathe,KS,Johnson,Dark Lager,2018
122,Bronze,Nighthawk,Enegren Brewing Co.,Moorpark,CA,Ventura,Dark Lager,2018
123,Gold,Grandpa Tractor,Barley Forge Brewing,Costa Mesa,CA,Orange,Dortmunder or German-Style Oktoberfest,2018
124,Silver,Freiheit Oktoberfest Wiesn,Wayfinder Beer,Portland,OR,Multnomah,Dortmunder or German-Style Oktoberfest,2018
125,Bronze,Figtoberfest,Figueroa Mountain Brewing - Westlake Village,Westlake Village,CA,Los Angeles,Dortmunder or German-Style Oktoberfest,2018
126,Gold,Midwest Red IPA,Masthead Brewing Co.,Cleveland,OH,Cuyahoga,Double Hoppy Red Ale,2018
127,Silver,Roundhouse,Bell's Eccentric Cafe,Kalamazoo,MI,Kalamazoo,Double Hoppy Red Ale,2018
128,Bronze,Bad Polaroid,Werk Force Brewing Co.,Plainfield,IL,Will,Double Hoppy Red Ale,2018
129,Gold,Get Up Offa That Brown,Golden Road Brewing - Los Angeles,Los Angeles,CA,Los Angeles,English-Style Brown Ale,2018
130,Silver,My Brown Eyed Girl,Thornapple Brewing Co.,Grand Rapids,MI,Kent,English-Style Brown Ale,2018
131,Bronze,No. 3 Brown,The Freehouse,Minneapolis,MN,Hennepin,English-Style Brown Ale,2018
132,Gold,Castillo IPA,Alaro Craft Brewery,Sacramento,CA,Sacramento,English-Style India Pale Ale,2018
133,Silver,Silverspot IPA,Pelican Brewing Co.,Pacific City,OR,Tillamook,English-Style India Pale Ale,2018
134,Bronze,Hoppy Poppy IPA,Figueroa Mountain Brewing,Buellton,CA,Santa Barbara,English-Style India Pale Ale,2018
135,Gold,Drift,First Magnitude Brewing Co.,Gainesville,FL,Alachua,English-Style Mild Ale,2018
136,Silver,Hold The Reins,Brink Brewing Co.,Cincinnati,OH,Hamilton,English-Style Mild Ale,2018
137,Bronze,Fools & Babies,Green Cheek Beer Co.,Orange,CA,Orange,English-Style Mild Ale,2018
138,Gold,Liquid AC,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA,San Diego,English-Style Summer Ale,2018
139,Silver,Provider,Steel Toe Brewing,St. Louis Park,MN,NOT KNOWN,English-Style Summer Ale,2018
140,Bronze,Zest A Peel,Triple C Brewing,Charlotte,NC,Mecklenburg,English-Style Summer Ale,2018
141,Gold,Feral Brute,Firestone Walker Barrelworks,Buellton,CA,Santa Barbara,Experimental Beer,2018
142,Silver,Terroir Pinot Noir,Alesong Brewing & Blending,Eugene,OR,Lane,Experimental Beer,2018
143,Bronze,Chips & Salsa Cream Ale,Cogstone Brewing Co.,Colorado Springs,CO,El Paso,Experimental Beer,2018
144,Gold,Dissent,Steel Toe Brewing,St. Louis Park,MN,NOT KNOWN,Export Stout,2018
145,Silver,Malpais Stout,La Cumbre Brewing Co.,Albuquerque,NM,Bernalillo,Export Stout,2018
146,Bronze,Shut Up & Adore Me,Morgan Territory Brewing,Tracy,CA,San Joaquin,Export Stout,2018
147,Gold,Happy Amber,MadTree Brewing 2.0,Cincinnati,OH,Hamilton,Extra Special Bitter,2018
148,Silver,ESB,Hillman Beer,Asheville,NC,Buncombe,Extra Special Bitter,2018
149,Bronze,Bull Kelp ESB,San Juan Island Brewing Co.,Friday Harbor,WA,San Juan,Extra Special Bitter,2018
150,Gold,Cool for the Summer,Lakes & Legends Brewing Co.,Minneapolis,MN,Hennepin,Field Beer,2018
151,Silver,Coco Piña Gose,Coastal Empire Beer Co.,Savannah,GA,Chatham,Field Beer,2018
152,Bronze,Hawaiian Lion Toasted Coconut & Coffee Porter,Big Top Brewing Co.,Sarasota,FL,Sarasota,Field Beer,2018
153,Gold,Passionate Envy,10 Barrel Brewing Co.,Bend,OR,Deschutes,Fruit Wheat Beer,2018
154,Silver,Purple Line,Smylie Brothers Brewing Co.,Evanston,IL,Cook,Fruit Wheat Beer,2018
155,Bronze,Cherry Wheat,Sierra Blanca Brewing Co.,Moriarty,NM,Torrance,Fruit Wheat Beer,2018
156,Gold,Pink Passionfruit Sour,BearWaters Brewing Co.,Canton,NC,Haywood,Fruited American-Style Sour Ale,2018
157,Silver,Kirby Pucker No. 21,Eastlake Craft Brewery,Minneapolis,MN,Hennepin,Fruited American-Style Sour Ale,2018
158,Bronze,Flaming Fury,Captain Lawrence Brewing Co.,Elmsford,NY,Westchester,Fruited American-Style Sour Ale,2018
159,Gold,Réserve Dorée de Pêche,Wooden Robot,Charlotte,NC,Mecklenburg,Fruited Wood- and Barrel-Aged Sour Beer,2018
160,Silver,Sour Cherry Sour,Hermitage Brewing Co.,San Jose,CA,Santa Clara,Fruited Wood- and Barrel-Aged Sour Beer,2018
161,Bronze,Zoned AG Golden Raspberry,Corralitos Brewing Co.,Watsonville,CA,Santa Cruz,Fruited Wood- and Barrel-Aged Sour Beer,2018
162,Gold,Legendary Red,Golden City Brewery,Golden,CO,Jefferson,German-Style Altbier,2018
163,Silver,Little Red Cap,Grimm Brothers Brewhouse,Loveland,CO,Larimer,German-Style Altbier,2018
164,Bronze,Alt 1848,Utepils Brewing Co.,Minneapolis,MN,Hennepin,German-Style Altbier,2018
165,Gold,Smooth Like Jazz,Revelry Brewing Co.,Charleston,SC,Charleston,German-Style Doppelbock or Eisbock,2018
166,Silver,Delaminator Doppelbock,Rip Current Brewery,San Marcos,CA,San Diego,German-Style Doppelbock or Eisbock,2018
167,Bronze,St. Nigels' Doppelbock,Front Range Brewing Co.,Lafayette,CO,Boulder,German-Style Doppelbock or Eisbock,2018
168,Gold,Colorado Kölsch,Steamworks Brewing Co.,Durango,CO,La Plata,German-Style Koelsch,2018
169,Silver,Kascadia,54° 40' Brewing Co.,Washougal,WA,Clark,German-Style Koelsch,2018
170,Bronze,Veedels Bräu,Crooked Lane Brewing Co.,Auburn,CA,Placer,German-Style Koelsch,2018
171,Gold,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,TX,NOT KNOWN,German-Style Maerzen,2018
172,Silver,Oktoberfest,RAM Restaurant and Brewery - Lakewood,Lakewood,WA,Pierce,German-Style Maerzen,2018
173,Bronze,Oktoberfest,Oak Highlands Brewery,Dallas,TX,Dallas,German-Style Maerzen,2018
174,Gold,Netflix and Pils,Cannonball Creek Brewing Co.,Golden,CO,Jefferson,German-Style Pilsener,2018
175,Silver,Pilsner,pFriem Family Brewers,Hood River,OR,Hood River,German-Style Pilsener,2018
176,Bronze,Pilsner,Ardent Craft Ales,Richmond,VA,Richmond (city),German-Style Pilsener,2018
177,Gold,Bananenhängematte,FiftyFifty Brewing - Production Facility,Truckee,CA,Nevada,German-Style Wheat Ale,2018
178,Silver,Alviso Mills Hefeweizen,Santa Clara Valley Brewing,San Jose,CA,Santa Clara,German-Style Wheat Ale,2018
179,Bronze,Doppel BLUR,Circle Brewing Co.,Austin,TX,Travis,German-Style Wheat Ale,2018
180,Gold,Puckerberry,High Hops Brewery,Windsor,CO,Weld,Gluten-Free Beer,2018
181,Silver,Aurochs Blonde Ale,Aurochs Brewing Co.,Emsworth,PA,Allegheny,Gluten-Free Beer,2018
182,Bronze,Dark Ale,Ground Breaker Brewing,Portland,OR,Multnomah,Gluten-Free Beer,2018
183,Gold,MadeWest Standard,MadeWest Brewing Co.,Ventura,CA,Ventura,Golden or Blonde Ale,2018
184,Silver,1956 Golden Ale,Bootstrap Brewing Co.,Niwot,CO,Boulder,Golden or Blonde Ale,2018
185,Bronze,Pistol Pete’s 1888 Ale,Bosque Brewing Co. - Bosque North,Bernalillo,NM,Sandoval,Golden or Blonde Ale,2018
186,Gold,Two of Tarts,Upland Brewing Co.,Bloomington,IN,Monroe,Gose,2018
187,Silver,Salty by Nature,Root Down Brewing Co.,Phoenixville,PA,Chester,Gose,2018
188,Bronze,Brewer's Day Off,D9 Brewing Co.,Cornelius,NC,Mecklenburg,Gose,2018
189,Gold,Pendragon,Royal Docks Brewhouse and Cannery,Massillon,OH,Stark,Herb and Spice Beer,2018
190,Silver,Hazelnut Crunch,North By Northwest Restaurant and Brewery - Slaughter,Austin,TX,Travis,Herb and Spice Beer,2018
191,Bronze,Wheatstone Bridge,Tin Whiskers Brewing,St. Paul,MN,NOT KNOWN,Herb and Spice Beer,2018
192,Gold,Pushing Trees,Central Standard Brewing,Wichita,KS,Sedgwick,Historical Beer,2018
193,Silver,The BIG Lubelski,Divine Barrel Brewing,Charlotte,NC,Mecklenburg,Historical Beer,2018
194,Bronze,Zungen Brecher,Home Brewing Co.,San Diego,CA,San Diego,Historical Beer,2018
195,Gold,Belgian Honey Blonde,No Clue Craft Brewery,Rancho Cucamonga,CA,San Bernardino,Honey Beer,2018
196,Silver,Honey Comb Cream Ale,Rock Bottom Brewery - Pittsburgh,Denver,CO,Denver,Honey Beer,2018
197,Bronze,Basil Better Have My Honey,Low Tide Brewing,Johns Island,SC,Charleston,Honey Beer,2018
198,Gold,Nobility,Noble Ale Works,Anaheim,CA,Orange,Imperial India Pale Ale,2018
199,Silver,Northern Lights,Moonraker Brewing Co. - Production Facility,Auburn,CA,Placer,Imperial India Pale Ale,2018
200,Bronze,Unbridled Enthusiasm,Third Space Brewing,Milwaukee,WI,Milwaukee,Imperial India Pale Ale,2018
201,Gold,Happy Days,Claremont Craft Ales,Claremont,CA,Los Angeles,Imperial Red Ale,2018
202,Silver,Robot,Stereo Brewing Co.,Placentia,CA,Orange,Imperial Red Ale,2018
203,Bronze,Cinder Beast,Sunriver Brewing,Sunriver,OR,Deschutes,Imperial Red Ale,2018
204,Gold,Kill the Lights,The Tap Brewery,Bloomington,IN,Monroe,Imperial Stout,2018
205,Silver,The Shroud,Bravery Brewing,Lancaster,CA,Los Angeles,Imperial Stout,2018
206,Bronze,Shimmergloom,Loowit Brewing Co.,Vancouver,WA,Clark,Imperial Stout,2018
207,Gold,Mai Tai P.A.,Alvarado Street Brewery & Grill,Monterey,CA,Monterey,International-Style Pale Ale,2018
208,Silver,Guayabera,Cigar City Brewing,Tampa,FL,Hillsborough,International-Style Pale Ale,2018
209,Bronze,The Penske File,Faction Brewing Co.,Alameda,CA,Alameda,International-Style Pale Ale,2018
210,Gold,Wooden Teeth,Turtle Mountain Brewing Co.,Rio Rancho,NM,Sandoval,International-Style Pilsener,2018
211,Silver,Nano - OG Lager,Market Garden Brewery,Cleveland,OH,Cuyahoga,International-Style Pilsener,2018
212,Bronze,Cerveza Delray,Brew Detroit,Detroit,MI,Wayne,International-Style Pilsener,2018
213,Gold,Scarlet > Fire,Tighthead Brewing Co.,Mundelein,IL,Lake,Irish-Style Red Ale,2018
214,Silver,TAPS Irish Red,TAPS Fish House and Brewery - Corona,Corona,CA,Riverside,Irish-Style Red Ale,2018
215,Bronze,DEFCON Red,Comrade Brewing Co.,Denver,CO,Denver,Irish-Style Red Ale,2018
216,Gold,New England Style Double IPA,Black Market Brewing Co.,Temecula,CA,Riverside,Juicy or Hazy Imperial or Double India Pale Ale,2018
217,Silver,Color of Life,Corridor Brewery & Provisions,Chicago,IL,Cook,Juicy or Hazy Imperial or Double India Pale Ale,2018
218,Bronze,Contains No Juice,Alvarado Street Brewery,Salinas,CA,Monterey,Juicy or Hazy Imperial or Double India Pale Ale,2018
219,Gold,Le Jus,Alarmist Brewing,Chicago,IL,Cook,Juicy or Hazy India Pale Ale,2018
220,Silver,Fairy Nectar London Double Dry Hopped,Kros Strain Brewing Co.,La Vista,NE,Sarpy,Juicy or Hazy India Pale Ale,2018
221,Bronze,Foiken Haze,Eris Brewery and Cider House,Chicago,IL,Cook,Juicy or Hazy India Pale Ale,2018
222,Gold,Voodoo,Tin Roof Brewing Co.,Baton Rouge,LA,East Baton Rouge,Juicy or Hazy Pale Ale,2018
223,Silver,Sippin on Dank 2.0,Kings Brewing Co.,Rancho Cucamonga,CA,San Bernardino,Juicy or Hazy Pale Ale,2018
224,Bronze,Madame Psychosis,Fiction Beer Co.,Denver,CO,Denver,Juicy or Hazy Pale Ale,2018
225,Gold,Keller Pils,Summit Brewing Co.,St. Paul,MN,NOT KNOWN,Kellerbier or Zwickelbier,2018
