,Medal,Beer Name,Brewery,City,State,County,Category,Year
1178,Bronze,Good Mooed Milk Stout,Railtown Brewing Co.,Dutton,MI,NOT KNOWN,Sweet Stout or Cream Stout,2016
1179,Gold,Vienna Lager,Devils Backbone Brewing Co. - Outpost Production Facility,Lexington,VA,Lexington (city),Vienna-Style Lager,2016
1180,Silver,13.FIVE Ofest,Blue Mountain Barrel House and Organic Brewery,Arrington,VA,Nelson,Vienna-Style Lager,2016
1181,Bronze,Churchville Lager,Neshaminy Creek Brewing Co.,Croydon,PA,Bucks,Vienna-Style Lager,2016
1182,Gold,Drama Queen,Denver Beer Co. - Canworks,Denver,CO,Denver,Wood- and Barrel-Aged Beer,2016
1183,Silver,Brett Saison,Blackberry Farm Brewery,Walland,TN,Blount,Wood- and Barrel-Aged Beer,2016
1184,Bronze,Rye Robustito,Drake's Brewing Co.,San Leandro,CA,Alameda,Wood- and Barrel-Aged Beer,2016
1185,Gold,Sour Project Ale,Adirondack Pub and Brewery,Lake George,NY,Warren,Wood- and Barrel-Aged Sour Beer,2016
1186,Silver,Avant-Chard,Historic Brewing Co.,Flagstaff,AZ,Coconino,Wood- and Barrel-Aged Sour Beer,2016
1187,Bronze,Angelina,Brewery Vivant,Grand Rapids,MI,Kent,Wood- and Barrel-Aged Sour Beer,2016
1188,Gold,Silent Warrior,TAPS Fish House and Brewery - Corona,Corona,CA,Riverside,Wood- and Barrel-Aged Strong Beer,2016
1189,Silver,Mélange A Trois,Nebraska Brewing Co. - Papillion,Papillion,NE,Sarpy,Wood- and Barrel-Aged Strong Beer,2016
1190,Bronze,15th Anniversary Ale,Island Brewing Co.,Carpinteria,CA,Santa Barbara,Wood- and Barrel-Aged Strong Beer,2016
1191,Gold,Barrel-Aged Darkness,Surly Brewing Co.,Brooklyn Center,MN,Hennepin,Wood- and Barrel-Aged Strong Stout,2016
1192,Silver,The Event Horizon,Olde Hickory Brewery,Hickory,NC,Catawba,Wood- and Barrel-Aged Strong Stout,2016
1193,Bronze,Little Nonsense,Verboten Brewing,Loveland,CO,Larimer,Wood- and Barrel-Aged Strong Stout,2016
1194,Gold,Big Deluxe,Ritual Brewing Co.,Redlands,CA,San Bernardino,Aged Beer,2015
1195,Silver,Sasquatch 2014,903 Brewers,Sherman,TX,Grayson,Aged Beer,2015
1196,Bronze,Old Diablo,Morgan Territory Brewing,Tracy,CA,San Joaquin,Aged Beer,2015
1197,Gold,Le Freak,Green Flash Brewing Co.,San Diego,CA,San Diego,American-Belgo-Style Ale,2015
1198,Silver,Summer Saison,Blackberry Farm Brewery,Walland,TN,Blount,American-Belgo-Style Ale,2015
1199,Bronze,Salad Days American Saison,Pale Fire Brewing Co.,Harrisonburg,VA,Harrisonburg (city),American-Belgo-Style Ale,2015
1200,Gold,Auburn Lager,Mad Anthony Brewing Co.,Fort Wayne,IN,NOT KNOWN,American-Style Amber Lager,2015
1201,Silver,Karbachtoberfest,Karbach Brewing Co.,Houston,TX,Harris,American-Style Amber Lager,2015
1202,Bronze,St. Florian's Brewery California Common,St. Florian's Brewery,Windsor,CA,Sonoma,American-Style Amber Lager,2015
1203,Gold,Immersion Amber Ale,Two Beers Brewing Co.,Seattle,WA,King,American-Style Amber/Red Ale,2015
1204,Silver,Proletariat Red,Lompoc Brewing - The 5th Quadrant,Portland,OR,Multnomah,American-Style Amber/Red Ale,2015
1205,Bronze,Sharkbite Red,Pizza Port Bressi Ranch,Carlsbad,CA,San Diego,American-Style Amber/Red Ale,2015
1206,Gold,Midnight Moonlight,Fat Head's Brewery - N. Olmstead,North Olmsted,OH,Cuyahoga,American-Style Black Ale,2015
1207,Silver,Singularity,Karl Strauss Brewing Co. - Costa Mesa,Costa Mesa,CA,Orange,American-Style Black Ale,2015
1208,Bronze,King Ink,Denver Beer Co. - Canworks,Denver,CO,Denver,American-Style Black Ale,2015
1209,Gold,1623 Almighty Brown Ale,7th Settlement Brewery,Dover,NH,Strafford,American-Style Brown Ale,2015
1210,Silver,Rapture Fusion Brown Ale,Rabbit Hole Brewing,Justin,TX,Denton,American-Style Brown Ale,2015
1211,Bronze,Restraint,Institution Ale Co.,Camarillo,CA,Ventura,American-Style Brown Ale,2015
1212,Gold,Rainier Lager,Pabst Brewing Co.,Los Angeles,CA,Los Angeles,American-Style Cream Ale,2015
1213,Silver,Olympia,Pabst Brewing Co.,Los Angeles,CA,Los Angeles,American-Style Cream Ale,2015
1214,Bronze,Nuff,Dale Bros Brewery,Upland,CA,San Bernardino,American-Style Cream Ale,2015
1215,Gold,Lagerithm,Bottle Logic Brewing,Anaheim,CA,Orange,American-Style Dark Lager,2015
1216,Silver,Lighter Than I Look,Figueroa Mountain Brewing - Arroyo Grande,Arroyo Grande,CA,San Luis Obispo,American-Style Dark Lager,2015
1217,Bronze,Black Diamond,Bend Brewing Co.,Bend,OR,Deschutes,American-Style Dark Lager,2015
1218,Gold,Chchchch-Cherry Bomb,Melvin Brewing,Jackson,WY,Teton,American-Style Fruit Beer,2015
1219,Silver,Rasplendent,Mazama Brewing Co.,Corvallis,OR,Benton,American-Style Fruit Beer,2015
1220,Bronze,Apricot Blonde,Dry Dock Brewing Co. - Production Facility,Aurora,CO,Adams,American-Style Fruit Beer,2015
1221,Gold,Revolver IPA,BNS Brewing & Distilling Co.,Santee,CA,San Diego,American-Style India Pale Ale,2015
1222,Silver,Pernicious IPA,Wicked Weed Brewing - Candler,Candler,NC,NOT KNOWN,American-Style India Pale Ale,2015
1223,Bronze,White Rajah,The Brew Kettle Taproom and Smokehouse,Strongsville,OH,Cuyahoga,American-Style India Pale Ale,2015
1224,Gold,Coors Banquet,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Lager or Light Lager,2015
1225,Silver,Summer Siesta Mexican Lager,Lone Tree Brewing Co.,Lone Tree,CO,Douglas,American-Style Lager or Light Lager,2015
1226,Bronze,Southern Girl Lager,Sycamore Brewing,Charlotte,NC,Mecklenburg,American-Style Lager or Light Lager,2015
1227,Gold,Rocket 100,The Austin Beer Garden Brewing Co.,Austin,TX,Travis,American-Style or International-Style Pilsener,2015
1228,Silver,Mexican Logger,SKA Brewing,Durango,CO,La Plata,American-Style or International-Style Pilsener,2015
1229,Bronze,Amend This!,TAPS Fish House & Brewery - Brea,Brea,CA,Orange,American-Style or International-Style Pilsener,2015
1230,Gold,Monterey St. Pale Ale,Central Coast Brewing Co.,San Luis Obispo,CA,San Luis Obispo,American-Style Pale Ale,2015
1231,Silver,Hoppy Palm,Track 7 Brewing Co. - Natomas,Sacramento,CA,Sacramento,American-Style Pale Ale,2015
1232,Bronze,Featherweight Pale Ale,Cannonball Creek Brewing Co.,Golden,CO,Jefferson,American-Style Pale Ale,2015
1233,Gold,Savant Blanc,Perennial Artisan Ales,Saint Louis,MO,St. Louis (city),American-Style Sour Ale,2015
1234,Silver,Ensorcelled,The Rare Barrel,Berkeley,CA,Alameda,American-Style Sour Ale,2015
1235,Bronze,Apropos of Nothing,The Rare Barrel,Berkeley,CA,Alameda,American-Style Sour Ale,2015
1236,Gold,Disorder Stout,Barley Brown's Brewpub,Baker City,OR,Baker,American-Style Stout,2015
1237,Silver,Black Cliffs,Boise Brewing,Boise,ID,Ada,American-Style Stout,2015
1238,Bronze,P2P,10 Barrel Brewing Co.,Bend,OR,Deschutes,American-Style Stout,2015
1239,Gold,Ratchet Strap IPA,Barley Brown's Beer,Baker City,OR,Baker,American-Style Strong Pale Ale,2015
1240,Silver,Via Chicago,CODA Brewing Co.,Aurora,CO,Adams,American-Style Strong Pale Ale,2015
1241,Bronze,3C India Pale Ale,Triple C Brewing,Charlotte,NC,Mecklenburg,American-Style Strong Pale Ale,2015
1242,Gold,Super 77 Wheat,Wiley Roots Brewing Co.,Greeley,CO,Weld,American-Style Wheat Beer,2015
1243,Silver,Whacked Out Wheat,Telluride Brewing Co.,Telluride,CO,San Miguel,American-Style Wheat Beer,2015
1244,Bronze,Mogabi,Elevator Brewing Co. - Production Facility,Columbus,OH,Franklin,American-Style Wheat Beer,2015
1245,Gold,The Big O,O'so Brewing,Plover,WI,Portage,American-Style Wheat Beer With Yeast,2015
1246,Silver,WeldWerks Hefeweizen,WeldWerks Brewing Co.,Greeley,CO,Weld,American-Style Wheat Beer With Yeast,2015
1247,Bronze,Boulder Bend Dunkelweizen,Fish Brewing Co.,Olympia,WA,Thurston,American-Style Wheat Beer With Yeast,2015
1248,Gold,Cobaltic Porter,Bottle Logic Brewing,Anaheim,CA,Orange,Baltic-Style Porter,2015
1249,Silver,Double Porter,Bemidji Brewing Co.,Bemidji,MN,Beltrami,Baltic-Style Porter,2015
1250,Bronze,Duck-Rabbit Baltic Porter,Duck-Rabbit Craft Brewery,Farmville,NC,Pitt,Baltic-Style Porter,2015
1251,Gold,Fat Hog,Ritual Brewing Co.,Redlands,CA,San Bernardino,Barley Wine-Style Ale,2015
1252,Silver,Statik,Brewery Rickoli,Wheat Ridge,CO,Jefferson,Barley Wine-Style Ale,2015
1253,Bronze,Old Skook,Three Magnets Brewing,Olympia,WA,Thurston,Barley Wine-Style Ale,2015
1254,Gold,Vintage Monks,Adelbert's Brewery,Austin,TX,Travis,Belgian- and French-Style Ale,2015
1255,Silver,Grisette,Sly Fox Brewing Co.,Pottstown,PA,Montgomery,Belgian- and French-Style Ale,2015
1256,Bronze,Petite Classique,The Commons Brewery,Portland,OR,Multnomah,Belgian- and French-Style Ale,2015
1257,Gold,Bear Hair,Logboat Brewing Co.,Columbia,MO,Boone,Belgian-Style Blonde Ale or Pale Ale,2015
1258,Silver,Bleek Worden,Prison City Brewing,Auburn,NY,Cayuga,Belgian-Style Blonde Ale or Pale Ale,2015
1259,Bronze,Belgian Style Pale Ale,Aardwolf Brewing Co.,Jacksonville,FL,Duval,Belgian-Style Blonde Ale or Pale Ale,2015
1260,Gold,Sanitarium,Bier Brewery and Taproom,Indianapolis,IN,Marion,Belgian-Style Dubbel or Quadruple,2015
1261,Silver,Dubbel Entendre,River's Edge Brewing Co.,Milford,MI,Oakland,Belgian-Style Dubbel or Quadruple,2015
1262,Bronze,Qualified,Taxman Brewing Co.,Bargersville,IN,Johnson,Belgian-Style Dubbel or Quadruple,2015
1263,Gold,xReserve Ale 05-15 Peach and Ginger Saison,Saucony Creek Brewing Co.,Kutztown,PA,Berks,Belgian-Style Fruit Beer,2015
1264,Silver,Kumquat Saison,Smog City Brewing,Torrance,CA,Los Angeles,Belgian-Style Fruit Beer,2015
1265,Bronze,Cherry Busey,Sun King Brewing Co.,Indianapolis,IN,Marion,Belgian-Style Fruit Beer,2015
1266,Gold,"Turbulent Consequence, Peche",Block 15,Corvallis,OR,Benton,Belgian-Style Lambic or Sour Ale,2015
1267,Silver,Feral One,Firestone Walker Barrelworks,Buellton,CA,Santa Barbara,Belgian-Style Lambic or Sour Ale,2015
1268,Bronze,Viejo Rojo,Tahoe Mountain Brewing Co. - Truckee,Truckee,CA,Nevada,Belgian-Style Lambic or Sour Ale,2015
1269,Gold,Van Dammit,Jailbreak Brewing Co.,Laurel,MD,Prince George's,Belgian-Style Strong Specialty Ale,2015
1270,Silver,The Cannibal,Iron Hill Brewery & Restaurant - Chestnut Hill,Philadelphia,PA,Philadelphia,Belgian-Style Strong Specialty Ale,2015
1271,Bronze,Quad Damn It,Chicago Brewing Co. - NV,Las Vegas,NV,Clark,Belgian-Style Strong Specialty Ale,2015
1272,Gold,Wild West Tripel,Chicago Brewing Co. - NV,Las Vegas,NV,Clark,Belgian-Style Tripel,2015
1273,Silver,Allagash Tripel,Allagash Brewing Co.,Portland,ME,Cumberland,Belgian-Style Tripel,2015
1274,Bronze,Millennium Trippel,Church Brew Works - Lawrenceville Brewery,Pittsburgh,PA,Allegheny,Belgian-Style Tripel,2015
1275,Gold,Allagash White,Allagash Brewing Co.,Portland,ME,Cumberland,Belgian-Style Witbier,2015
1276,Silver,White Rascal,Avery Brewing Co.,Boulder,CO,Boulder,Belgian-Style Witbier,2015
1277,Bronze,Optimal Wit,Port City Brewing Co.,Alexandria,VA,Alexandria (city),Belgian-Style Witbier,2015
1278,Gold,Break Line Bock,Rip Current Brewery,San Marcos,CA,San Diego,Bock,2015
1279,Silver,Rock Out with Maibock Out,Hailstorm Brewing Co.,Tinley Park,IL,Cook,Bock,2015
1280,Bronze,A Cart Ride to Mexico,Red Eye Brewing Co.,Wausau,WI,Marathon,Bock,2015
1281,Gold,Shower Beer,Champion Brewing Co.,Charlottesville,VA,Charlottesville (city),Bohemian-Style Pilsener,2015
1282,Silver,Bohemian Pilsner,von Trapp Brewing,Stowe,VT,Lamoille,Bohemian-Style Pilsener,2015
1283,Bronze,Peacemaker Pilsner,Pug Ryan's Brewing Co.,Dillon,CO,Summit,Bohemian-Style Pilsener,2015
1284,Gold,(512) Wild Bear,(512) Brewing Co.,Austin,TX,Travis,Brett Beer,2015
1285,Silver,Red Swingline IPA Primitif,Trinity Brewing,Colorado Springs,CO,El Paso,Brett Beer,2015
1286,Bronze,2015 Golden Ale,New Glarus Brewing Co. - Hilltop,New Glarus,WI,Green,Brett Beer,2015
1287,Gold,Disaster at Meux,Lion Bridge Brewing Co.,Cedar Rapids,IA,Linn,Brown Porter,2015
1288,Silver,Peter Brown Tribute Ale,Bear Republic Brewing Co. - Factory 5,Cloverdale,CA,Sonoma,Brown Porter,2015
1289,Bronze,Black Jack Porter,Left Hand Brewing Co.,Longmont,CO,Boulder,Brown Porter,2015
1290,Gold,Fire Tiger,Lander Brewing Co.,Lander,WY,Fremont,Chili Beer,2015
1291,Silver,Heir Apparent,Lickinghole Creek Craft Brewery,Goochland,VA,Goochland,Chili Beer,2015
1292,Bronze,Ballast Point Pale Ale with Serrano,Ballast Point Brewing & Spirits - Scripps Ranch,San Diego,CA,San Diego,Chili Beer,2015
1293,Gold,The Velvet Hog,TAPS Fish House & Brewery - Corona,Corona,CA,Riverside,Chocolate Beer,2015
1294,Silver,El Toro Coco Chocolate Stout,El Toro Brewing Co.,Morgan Hill,CA,Santa Clara,Chocolate Beer,2015
1295,Bronze,Wonka Bar,Mispillion River Brewing,Milford,DE,Sussex,Chocolate Beer,2015
1296,Gold,Mr. Kite's Pale Ale,Social Kitchen & Brewery,San Francisco,CA,San Francisco,Classic English-Style Pale Ale,2015
1297,Silver,India Pale Ale,Arcadia Brewing Co.,Kalamazoo,MI,Kalamazoo,Classic English-Style Pale Ale,2015
1298,Bronze,PBW Pale Ale,Paducah Beer Werks,Paducah,KY,McCracken,Classic English-Style Pale Ale,2015
1299,Gold,Stearns Stout,Figueroa Mountain Brewing - Santa Barbara,Santa Barbara,CA,Santa Barbara,Classic Irish-Style Dry Stout,2015
1300,Silver,Dragoon's Dry Irish Stout,Moylan's Brewery & Restaurant,Novato,CA,Marin,Classic Irish-Style Dry Stout,2015
1301,Bronze,Dry Stout,Reuben's Brews,Seattle,WA,King,Classic Irish-Style Dry Stout,2015
1302,Gold,Zumbar Chocolate Coffee Imperial Stout,New English Brewing Co.,San Diego,CA,San Diego,Coffee Beer,2015
1303,Silver,Mocha Machine,Beachwood BBQ & Brewing,Long Beach,CA,Los Angeles,Coffee Beer,2015
1304,Bronze,Bacon and Eggs,Pizza Port Ocean Beach,San Diego,CA,San Diego,Coffee Beer,2015
1305,Gold,Oktoberfest,Fort Collins Brewery & Tavern,Fort Collins,CO,Larimer,Dortmunder or German-Style Oktoberfest,2015
1306,Silver,Longboard Island Lager,Craft Brew Alliance - Kona Brewery,Kailua Kona,HI,NOT KNOWN,Dortmunder or German-Style Oktoberfest,2015
1307,Bronze,Helles Lager,Lucky Envelope Brewing,Seattle,WA,King,Dortmunder or German-Style Oktoberfest,2015
1308,Gold,Bone Head Imperial Red,Fat Head's Brewery,Middleburg Heights,OH,Cuyahoga,Double Red Ale,2015
1309,Silver,Toaster Pastry,21st Amendment Brewery,San Leandro,CA,Alameda,Double Red Ale,2015
1310,Bronze,GRAMBO,Pizza Port Solana Beach,Solana Beach,CA,San Diego,Double Red Ale,2015
1311,Gold,Red Hydrant Ale,Big Dog's Brewing Co.,Las Vegas,NV,Clark,English-Style Brown Ale,2015
1312,Silver,No Name,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Garfield,English-Style Brown Ale,2015
1313,Bronze,Rogue River Brown,"Rockford Brewing Co. - Rockford, Michigan",Rockford,MI,Kent,English-Style Brown Ale,2015
1314,Gold,Shanghai'd IPA,Old Town Brewing,Portland,OR,Multnomah,English-Style India Pale Ale,2015
1315,Silver,Monumental IPA,Port City Brewing Co.,Alexandria,VA,Alexandria (city),English-Style India Pale Ale,2015
1316,Bronze,Hammersmith IPA,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,English-Style India Pale Ale,2015
1317,Gold,Mild,Brothers Craft Brewing,Harrisonburg,VA,Harrisonburg (city),English-Style Mild Ale,2015
1318,Silver,Summer Porter,Fort Point Beer Co.,San Francisco,CA,San Francisco,English-Style Mild Ale,2015
1319,Bronze,Mamoot,Logboat Brewing Co.,Columbia,MO,Boone,English-Style Mild Ale,2015
1320,Gold,Beaverton Blonde,Golden Valley Brewery and Pub,McMinnville,OR,Yamhill,English-Style Summer Ale,2015
1321,Silver,Cream Ale,Newburgh Brewing Co.,Newburgh,NY,Orange,English-Style Summer Ale,2015
1322,Bronze,Lonely Blonde,Fulton Beer,Minneapolis,MN,Hennepin,English-Style Summer Ale,2015
1323,Gold,Gigi,Exile Brewing,Des Moines,IA,Polk,European-Style Dark/Münchner Dunkel,2015
1324,Silver,Fearless Youth,Grimm Brothers Brewhouse,Loveland,CO,Larimer,European-Style Dark/Münchner Dunkel,2015
1325,Bronze,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,WA,Whatcom,European-Style Dark/Münchner Dunkel,2015
1326,Gold,Mystery Airship Imperial Chocolate Porter,New Helvetia Brewing Co.,Sacramento,CA,Sacramento,Experimental Beer,2015
1327,Silver,Melt My Brain,Short's Brewing Co.,Elk Rapids,MI,Antrim,Experimental Beer,2015
1328,Bronze,Ramjet,Black Project Spontaneous & Wild Ales,Denver,CO,Denver,Experimental Beer,2015
1329,Gold,"Fade to Black, Volume 1",Left Hand Brewing Co.,Longmont,CO,Boulder,Export Stout,2015
1330,Silver,Black Rock Stout,Crossroads Brewing Co.,Athens,NY,Greene,Export Stout,2015
1331,Bronze,Z-man Stout,Pizza Port Carlsbad,Carlsbad,CA,San Diego,Export Stout,2015
1332,Gold,The Guilty Party,Gibb's Hundred Brewing Co.,Greensboro,NC,Guilford,Extra Special Bitter,2015
1333,Silver,14° ESB,Bent Paddle Brewing Co.,Duluth,MN,St. Louis,Extra Special Bitter,2015
1334,Bronze,Red Fish,Flying Fish Brewing Co.,Somerdale,NJ,Camden,Extra Special Bitter,2015
1335,Gold,"Beets, Rhymes and Life",Fonta Flora Brewery,Morganton,NC,Burke,Field Beer,2015
1336,Silver,Window Seat Coconut Almond Porter,Baxter Brewing Co.,Auburn,ME,Androscoggin,Field Beer,2015
1337,Bronze,Coconut Porter,Broken Compass Brewing,Breckenridge,CO,Summit,Field Beer,2015
1338,Gold,Siren's Lure,Fair Winds Brewing Co.,Lorton,VA,Fairfax,French- and Belgian-Style Saison,2015
1339,Silver,Daily Wages,Brasserie Saint James,Reno,NV,Washoe,French- and Belgian-Style Saison,2015
1340,Bronze,Saison,URBN St. Brewing Co.,El Cajon,CA,San Diego,French- and Belgian-Style Saison,2015
1341,Gold,Acequia IPA,Bosque Brewing Co.,Albuquerque,NM,Bernalillo,Fresh or Wet Hop Ale,2015
1342,Silver,Fresh Hop Superpower IPA,Comrade Brewing Co.,Denver,CO,Denver,Fresh or Wet Hop Ale,2015
1343,Bronze,Melvin IPA,Melvin Brewing,Jackson,WY,Teton,Fresh or Wet Hop Ale,2015
1344,Gold,Magnolia's Peach,BJ's Restaurant & Brewery - Chandler,Chandler,AZ,Maricopa,Fruit Wheat Beer,2015
1345,Silver,"You're My Boy, Blue!",Brew Bus Brewing,Tampa,FL,Hillsborough,Fruit Wheat Beer,2015
1346,Bronze,Purple Line,Smylie Brothers Brewing Co.,Evanston,IL,Cook,Fruit Wheat Beer,2015
1347,Gold,Copper Alt,Zipline Brewing Co.,Lincoln,NE,Lancaster,German-Style Altbier,2015
1348,Silver,Generation Alt,Flix Brewhouse - Indy,Carmel,IN,Hamilton,German-Style Altbier,2015
1349,Bronze,Altbier,Liquid Mechanics Brewing Co.,Lafayette,CO,Boulder,German-Style Altbier,2015
1350,Gold,The Regulator,Rahr & Sons Brewing Co.,Fort Worth,TX,NOT KNOWN,German-Style Doppelbock or Eisbock,2015
1351,Silver,Procrastinator Doppelbock,Fitger's Brewhouse,Duluth,MN,St. Louis,German-Style Doppelbock or Eisbock,2015
1352,Bronze,Hot for Teacher Ms. Doppelbock,Thr3e Wise Men Brewing Co.,Indianapolis,IN,Marion,German-Style Doppelbock or Eisbock,2015
1353,Gold,Chuckanut Kolsch Style,Chuckanut Brewery,Bellingham,WA,Whatcom,German-Style Kölsch,2015
1354,Silver,Colorado Kölsch,Steamworks Brewing Co.,Durango,CO,La Plata,German-Style Kölsch,2015
1355,Bronze,Friar Chuck,Black Bottle Brewery,Fort Collins,CO,Larimer,German-Style Kölsch,2015
1356,Gold,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,TX,NOT KNOWN,German-Style Märzen,2015
1357,Silver,Antonius 1742 Oktoberfest,Thr3e Wise Men Brewing Co.,Indianapolis,IN,Marion,German-Style Märzen,2015
1358,Bronze,Duck-Rabbit Märzen,Duck-Rabbit Craft Brewery,Farmville,NC,Pitt,German-Style Märzen,2015
1359,Gold,Pivo,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,German-Style Pilsener,2015
1360,Silver,Pilsner,pFriem Family Brewers,Hood River,OR,Hood River,German-Style Pilsener,2015
1361,Bronze,Pilsner,Dry Dock Brewing Co.,Aurora,CO,Adams,German-Style Pilsener,2015
1362,Gold,Lobo Negro,Pedernales Brewing Co.,Fredericksburg,TX,Gillespie,German-Style Schwarzbier,2015
1363,Silver,Black Knight,Fat Head's Brewery - N. Olmstead,North Olmsted,OH,Cuyahoga,German-Style Schwarzbier,2015
1364,Bronze,Eastside,Lakefront Brewery,Milwaukee,WI,Milwaukee,German-Style Schwarzbier,2015
1365,Gold,Gose,Reuben's Brews Taproom,Seattle,WA,King,German-Style Sour Ale,2015
1366,Silver,Volkssekt,Bend Brewing Co.,Bend,OR,Deschutes,German-Style Sour Ale,2015
1367,Bronze,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR,Deschutes,German-Style Sour Ale,2015
1368,Gold,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,TX,Harris,German-Style Wheat Ale,2015
1369,Silver,Weizenbock,Kansas City Bier Co.,Kansas City,MO,Jackson,German-Style Wheat Ale,2015
1370,Bronze,Monkey Business,New Bohemia Brewing Co.,Santa Cruz,CA,Santa Cruz,German-Style Wheat Ale,2015
1371,Gold,Watchstander Stout,Ghostfish Brewing Co.,Seattle,WA,King,Gluten-Free Beer,2015
1372,Silver,IPA No. 5,Ground Breaker Brewing,Portland,OR,Multnomah,Gluten-Free Beer,2015
1373,Bronze,Ghostfish Grapefruit IPA,Ghostfish Brewing Co.,Seattle,WA,King,Gluten-Free Beer,2015
1374,Gold,Sunlight Cream Ale,Sun King Brewing Co.,Indianapolis,IN,Marion,Golden or Blonde Ale,2015
1375,Silver,Boxcar Blonde Ale,Heroes Restaurant and Brewery,Riverside,CA,Riverside,Golden or Blonde Ale,2015
1376,Bronze,Alpine Gold,Tied House Cafe & Brewery - Mtn View,Mountain View,CA,Santa Clara,Golden or Blonde Ale,2015
1377,Gold,Garden Party,Free State Brewing Co.,Lawrence,KS,Douglas,Herb and Spice Beer,2015
1378,Silver,Allergeez,Panther Island Brewing Co.,Fort Worth,TX,NOT KNOWN,Herb and Spice Beer,2015
1379,Bronze,Oatmeal Raisin Cookie Ale,Aftershock Brewing Co.,Temecula,CA,Riverside,Herb and Spice Beer,2015
1380,Gold,Black Eagle Gratzer,Platform Beer Co.,Cleveland,OH,Cuyahoga,Historical Beer,2015
1381,Silver,Dortmunder Adambier,Blue Pants Brewery,Madison,AL,Madison,Historical Beer,2015
1382,Bronze,Snow Drop,Grimm Brothers Brewhouse,Loveland,CO,Larimer,Historical Beer,2015
1383,Gold,Electric Stinger,The Tap Beer Co.,Bloomington,IN,Monroe,Honey Beer,2015
1384,Silver,Honey Chamomile Wheat,Nexus Brewery,Albuquerque,NM,Bernalillo,Honey Beer,2015
1385,Bronze,Spring Fever,FiftyFifty Brewing Co.,Truckee,CA,Nevada,Honey Beer,2015
1386,Gold,Hop JuJu Imperial IPA,Fat Head's Brewery,Middleburg Heights,OH,Cuyahoga,Imperial India Pale Ale,2015
1387,Silver,Eazy Duz It IIPA,Laurelwood Public House and Brewery,Portland,OR,Multnomah,Imperial India Pale Ale,2015
1388,Bronze,Teahupo'o,Breakwater Brewing Co.,Oceanside,CA,San Diego,Imperial India Pale Ale,2015
1389,Gold,reDANKulous,Founders Brewing Co.,Grand Rapids,MI,Kent,Imperial Red Ale,2015
1390,Silver,Wreak Havoc,Bootstrap Brewing Co.,Niwot,CO,Boulder,Imperial Red Ale,2015
1391,Bronze,Imperial Red Ale,Marble Brewery,Albuquerque,NM,Bernalillo,Imperial Red Ale,2015
1392,Gold,Double Negative,Grimm Artisanal Ales,Brooklyn,NY,Kings,Imperial Stout,2015
1393,Silver,Russian Imperial Stout,Iron Hill Brewery & Restaurant - Lancaster,Lancaster,PA,Lancaster,Imperial Stout,2015
1394,Bronze,The Miller's Toll,Raleigh Brewing Co.,Raleigh,NC,Wake,Imperial Stout,2015
1395,Gold,Mai Tai P.A.,Alvarado Street Brewery & Grill,Monterey,CA,Monterey,International-Style Pale Ale,2015
1396,Silver,Rain Delay IPA,JAFB Wooster Brewery,Wooster,OH,Wayne,International-Style Pale Ale,2015
1397,Bronze,San Diego-Style IPA,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA,San Diego,International-Style Pale Ale,2015
1398,Gold,TAPS Irish Red,TAPS Fish House & Brewery - Corona,Corona,CA,Riverside,Irish-Style Red Ale,2015
1399,Silver,Johnny Blood Red,Titletown Brewing Co.,Green Bay,WI,Brown,Irish-Style Red Ale,2015
1400,Bronze,Hooligan's Irish Red Ale,Montana Brewing Co.,Billings,MT,Yellowstone,Irish-Style Red Ale,2015
1401,Gold,STS Pils,Russian River Brewing Co.,Santa Rosa,CA,Sonoma,Kellerbier or Zwickelbier,2015
1402,Silver,TAPS Kellerbier,TAPS Fish House & Brewery - Brea,Brea,CA,Orange,Kellerbier or Zwickelbier,2015
1403,Bronze,Fargo Original,Fargo Brewing Co.,Fargo,ND,Cass,Kellerbier or Zwickelbier,2015
1404,Gold,Bucket Seat Blonde,Garage Brewing Co. & Pizzeria,Temecula,CA,Riverside,Munich-Style Helles,2015
1405,Silver,Long Goodbye,Ahnapee Brewery,Algoma,WI,Kewaunee,Munich-Style Helles,2015
1406,Bronze,Goldencold Lager,Susquehanna Brewing Co.,Pittston,PA,Luzerne,Munich-Style Helles,2015
1407,Gold,R & R Oatmeal Stout,Beaver Street Brewery,Flagstaff,AZ,Coconino,Oatmeal Stout,2015
1408,Silver,Scripps Pier Stout,South Park Brewing - CA,San Diego,CA,San Diego,Oatmeal Stout,2015
1409,Bronze,Scaredy Cat,Vintage Brewing Co.,Madison,WI,Dane,Oatmeal Stout,2015
1410,Gold,Old Scrooge,Silver City Brewery,Bremerton,WA,Kitsap,Old Ale or Strong Ale,2015
1411,Silver,Innsmouth Olde Ale,Narragansett Brewing Co.,Providence,RI,Providence,Old Ale or Strong Ale,2015
1412,Bronze,MASSIVE! 2013,Gigantic Brewing Co.,Portland,OR,Multnomah,Old Ale or Strong Ale,2015
