Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
Gold,Milwaukee’s Best,Miller Brewing Co.,Golden,Jefferson,CO,American-Style Cream Ale or Lager,2009,24
Gold,County Seat Wheat,Blind Tiger Brewery & Restaurant,Topeka,Mason,KS,American-Style Wheat Beer,2009,19
Gold,Haywire Hefeweizen,Pyramid Breweries,Seattle,King,WA,American-Style Wheat Beer With Yeast,2009,43
Gold,Raspberry Creek,Breakwater Brewing Co.,Oceanside,San Diego,CA,Fruit Beer or Field Beer,2009,104
Gold,Stillwater Rye,Montana Brewing Co.,Billings,Christian,MT,Herb and Spice or Chocolate Beer,2009,85
Gold,Dude! Where’s My Vespa?,Rock Bottom Brewery - Arlington,Arlington,Maricopa,VA,Coffee Flavored Beer,2009,45
Gold,Chateau Jiahu,Dogfish Head Brewery,Milton,Sussex,DE,Specialty Beer,2009,21
Gold,Crazy Jackass Ale,Great American Restaurants,Centreville,Bibb,VA,Rye Beer,2009,21
Gold,Countdown Honey Brown,Thunder Canyon Brewery,Tucson,Pima,AZ,Specialty Honey Beer,2009,36
Gold,KinderPils,Triumph Brewing Co. of Philadelphia,Philadelphia,Neshoba,PA,Session Beer,2009,27
Gold,Cardiff,Glenwood Canyon Brewing Co.,Glenwood Springs,Garfield,CO,Other Strong Beer,2009,44
Gold,TPS Report,Trinity Brewing Co,Colorado Springs,El Paso,CO,Experimental Beer,2009,32
Gold,W ‘10,Widmer Brothers Brewing,Portland,Ashley,OR,Out of Category – Traditionally Brewed Beer,2009,82
Gold,Celia Framboise,The Alchemist,Waterbury,New Haven,VT,Gluten Free Beer,2009,10
Gold,Exit 4,Flying Fish Brewing Co.,Cherry Hill,Will,NJ,American-Belgo-Style Ale,2009,51
Gold,Rosso e Marrone,Captain Lawrence Brewing Co,Pleasantville,New Castle,NY,American-Style Sour Ale,2009,32
Gold,Humidor Series IPA,Cigar City Brewing,Tampa,Hillsborough,FL,Wood- and Barrel-Aged Beer,2009,33
Gold,Cereal Killer Barleywine,Arcadia Brewing Co.,Battle Creek,Ida,MI,Wood- and Barrel-Aged Strong Beer,2009,110
Gold,Bourbonic Plague,Cascade Brewery Co. LLC,Portland,Ashley,OR,Wood- and Barrel-Aged Sour Beer,2009,45
Gold,Horn Dog Vintage 2007,Flying Dog Brewery,Frederick,Weld,MD,Aged Beer,2009,32
Gold,Hell In Keller,Uncle Billy’s Brew & Que,Austin,Lonoke,TX,Kellerbier/Zwickelbier,2009,27
Gold,Smokejumper,Left Hand Brewing Co.,Longmont,Boulder,CO,Smoked Beer,2009,43
Gold,Gold Leaf Lager,Devil’s Backbone Brewing Co.,Roseland,Sonoma,VA,International-Style Pilsener,2009,13
Gold,106 Pilsner,Rock Bottom Brewery - Milwaukee,Milwaukee,Milwaukee,WI,German-Style Pilsener,2009,48
Gold,Vermont Lager,Otter Creek Brewing/Wolaver’s Organic Ales,Middlebury,Elkhart,VT,Bohemian Style Pilsener,2009,39
Gold,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,Matanuska-Susitna,TX,Munich Style Helles,2009,31
Gold,Move Back,The SandLot,Denver,Denver,CO,Dortmunder or German-Style Oktoberfest,2009,20
Gold,Budweiser Select,Anheuser-Busch Inc.,Saint Louis,Gratiot,MO,American Style Light Lager,2009,25
Gold,Coors Banquet,Coors Brewing Co.,Golden,Jefferson,CO,American-Style Lager or Premium Lager,2009,34
Gold,Keystone Ice,Coors Brewing Co.,Golden,Jefferson,CO,American Style Specialty Lager,2009,23
Gold,Vienna Lager,Chuckanut Brewery,Bellingham,Norfolk,WA,Vienna Style Lager,2009,25
Gold,Dogtoberfest,Flying Dog Brewery,Frederick,Weld,MD,German Style Märzen,2009,45
Gold,Durango Colorfest,Durango Brewing Co.,Durango,La Plata,CO,American Style Amber Lager,2009,45
Gold,Dunkel,Chuckanut Brewery,Bellingham,Norfolk,WA,European Style Dunkel,2009,21
Gold,Session Black Premium Lager,Full Sail Brewing at Riverplace,Portland,Ashley,OR,American-Style Dark Lager,2009,15
Gold,Schwarzbier,Iron Hill Brewery & Restaurant,Wilmington,New Castle,DE,German Style Schwarzbier,2009,34
Gold,Troegenator,Troegs Brewing Co.,Harrisburg,Poinsett,PA,Bock,2009,40
Gold,The Kaiser,Avery Brewing Co.,Boulder,Boulder,CO,German Style Doppelbock or Eisbock,2009,21
Gold,Duck-Rabbit Baltic Porter,The Duck-Rabbit Craft Brewery Inc.,Farmville,Pitt,NC,Baltic-Style Porter,2009,16
Gold,Golden Spike,Tustin Brewing Co.,Tustin,Orange,CA,Golden or Blonde Ale,2009,43
Gold,Kolsch,Sierra Nevada Brewing Co.,Chico,Butte,CA,German Style Kölsch,2009,43
Gold,Light Rock Ale,RJ Rockers Brewing Co.,Spartanburg,Spartanburg,SC,English-Style Summer Ale,2009,33
Gold,Mactarnahan’s Amber,Pyramid Breweries,Seattle,King,WA,Classic English Style Pale Ale,2009,33
Gold,Beech Street Bitter,Pizza Port Carlsbad,Carlsbad,San Diego,CA,English-Style India Pale Ale,2009,40
Gold,Sweetgrass IPA,Grand Teton Brewing Co.,Victor,San Joaquin,ID,American Style Pale Ale,2009,108
Gold,Racer 5 IPA,Bear Republic Factory Five,Cloverdale,Lauderdale,CA,American-Style Strong Pale Ale,2009,70
Gold,Union Jack,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,American-Style India Pale Ale,2009,134
Gold,Organic Ace of Spades Imperial IPA,Hopworks Urban Brewery,Portland,Ashley,OR,Imperial India Pale Ale,2009,77
Gold,Organic Rise Up Red,Hopworks Urban Brewery,Portland,Ashley,OR,American Style Amber/Red Ale,2009,78
Gold,Shark Attack,Pizza Port Solana Beach,Solana Beach,San Diego,CA,Imperial Red Ale,2009,36
Gold,Sara’s Ruby Mild,Magnolia Gastropub & Brewery,San Francisco,San Francisco,CA,English Style Mild Ale,2009,17
Gold,Big Rapid Red,Beaver St. Brewery,Flagstaff,Coconino,AZ,Ordinary or Special Bitter,2009,45
Gold,ESB,Redhook Ales - Woodinville,Woodinville,King,WA,Extra Special Bitter or Strong Bitter,2009,47
Gold,Railbender Ale,Erie Brewing Co,Erie,Boulder,PA,Scottish Style Ale,2009,29
Gold,Ridgetop Red,Silver City Brewery,Silverdale,Cowley,WA,Irish Style Red Ale,2009,32
Gold,Longboard Brown,Rock Bottom Brewery - La Jolla,La Jolla,San Diego,CA,English Style Brown Ale,2009,41
Gold,Dirty Helen Brown Ale,Barley Island Brewing Co.,Noblesville,Hamilton,IN,American Style Brown Ale,2009,43
Gold,Bismarck Altbier,Dry Dock Brewing Co.,Aurora,Adams,CO,German Style Altbier,2009,35
Gold,Berliner Weisse,Southampton Publick House,Southampton,Suffolk,NY,German-Style Sour Ale,2009,13
Gold,Top Heavy Hefeweizen,Piece Brewery,Chicago,Cook,IL,South German Style Hefeweizen,2009,66
Gold,Hefeweizen,Triumph Brewing Co. of New Hope,New Hope,Madison,PA,American-Style Wheat Beer With Yeast,2009,43
Gold,ZON,Boulevard Brewing Co,Kansas City,Wyandotte,MO,Belgian-Style Witbier,2009,53
Gold,Saison Vautour,McKenzie Brew House,Glen Mills,#N/A,PA,French- and Belgian Style Saison,2009,56
Gold,Carnevale,The Lost Abbey,San Marcos,San Diego,CA,Belgian and French-Style Ale,2009,41
Gold,Duck Duck Gooze,The Lost Abbey,San Marcos,San Diego,CA,Belgian-Style Lambic or Sour Ale,2009,29
Gold,Signature Dubbel,Choc Beer Co.,Krebs,Pittsburg,OK,Belgian-Style Abbey Ale,2009,58
Gold,Revelations,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Belgian Style Strong Specialty Ale,2009,70
Gold,St. Charles Porter,Blackstone Brewing Co.,Nashville,Howard,TN,Brown Porter,2009,38
Gold,Pt. Reyes Porter,Marin Brewing Co.,Larkspur,Marin,CA,Robust Porter,2009,57
Gold,Dark Starr Stout,Starr Hill Brewery,Crozet,Albemarle,VA,Classic Irish Style Dry Stout,2009,19
Gold,Space Stout,Laurelwood Brewing Co.,Portland,Ashley,OR,Foreign Style Stout,2009,20
Gold,Liberty Stout,Gella’s Diner and Lb. Brewing Co.,Hays,Ellis,KS,American-Style Stout,2009,22
Gold,Cow Stout,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Sweet Stout,2009,27
Gold,Ernest’s Silky Smoove,Pizza Port San Clemente,San Clemente,Orange,CA,Oatmeal Stout,2009,31
