Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
Bronze,P2P,10 Barrel Brewing Co.,Bend,Tehama,OR,American-Style Stout,2014,48
Bronze,Breakside Wanderlust IPA,Breakside Brewery,Milwaukie,Clackamas,OR,American-Style Strong Pale Ale,2014,134
Bronze,Amber Waves,10 Barrel Brewing Co.,Bend,Tehama,OR,American-Style Wheat Beer,2014,31
Bronze,Wheatfish Wheat Lager,Great Northern Brewing Co.,Whitefish,Flathead,MT,American-Style Wheat Beer With Yeast,2014,44
Bronze,Puddy Porter,Faction Brewing Co.,Alameda,Alameda,CA,Baltic-Style Porter,2014,42
Bronze,Galaxian,Bootlegger's Brewery,Fullerton,Orange,CA,Barley Wine-Style Ale,2014,51
Bronze,Barren Hill Biere De Extra,Barren Hill Tavern and Brewery,Lafayette Hill,#N/A,PA,Belgian- and French-Style Ale,2014,27
Bronze,Dubbel Entendre,Sound Brewery,Poulsbo,Kitsap,WA,Belgian-Style Abbey Ale,2014,62
Bronze,Rainmaker Ale,Stormcloud Brewing Co.,Frankfort,Will,MI,Belgian-Style Blonde Ale or Pale Ale,2014,44
Bronze,Poire du Pélican,Pelican Pub & Brewery,Pacific City,Tillamook,OR,Belgian-Style Fruit Beer,2014,41
Bronze,Jon Flanders,Tustin Brewing Co.,Tustin,Orange,CA,Belgian-Style Lambic or Sour Ale,2014,60
Bronze,Golden Sabbath,Big Island Brewhaus,Kamuela,#N/A,HI,Belgian-Style Strong Specialty Ale,2014,64
Bronze,La Flama Dorada,Pizza Port Ocean Beach,Ocean Beach,Suffolk,CA,Belgian-Style Tripel,2014,58
Bronze,ZON Belgian-Style Witbier,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,Belgian-Style Witbier,2014,65
Bronze,Winterbock,Triumph Brewing Co. of New Hope,New Hope,Madison,PA,Bock,2014,27
Bronze,Double Aught,Bear Republic Brewing Co.,Healdsburg,Sonoma,CA,Bohemian-Style Pilsener,2014,46
Bronze,Power House Porter,Sockeye Brewing,Boise,Ada,ID,Brown Porter,2014,61
Bronze,Sweet Baby Jesus!,DuClaw Brewing Co.,Rosedale,Kern,MD,Chocolate Beer,2014,44
Bronze,Extra Pale Ale,Summit Brewing Co.,Saint Paul,Aleutians West,MN,Classic English-Style Pale Ale,2014,33
