id,Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
476,Gold,Mexican Chocolate Stout,Copper Kettle Brewing Co.,Denver,Denver,CO,Herb and Spice Beer,2011,92
477,Gold,Chocolate Beer,Barley Brothers Brewery and Grill,Lake Havasu City,Mohave,AZ,Chocolate Beer,2011,30
478,Gold,Java Mac,Sun King Brewing Co.,Indianapolis,Marion,IN,Coffee Beer,2011,60
479,Gold,Hazelnut Brown Nectar,Rogue Ales,Newport,Jackson,OR,Specialty Beer,2011,24
480,Gold,Three Flowers IPA,Marin Brewing Co.,Larkspur,Marin,CA,Rye Beer,2011,36
481,Gold,Sixteen,Weyerbacher Brewing Co.,Easton,Fresno,PA,Specialty Honey Beer,2011,32
482,Gold,Provo Girl Pilsner,Utah Brewers Co-op,Salt Lake City,Salt Lake,UT,Session Beer,2011,44
483,Gold,Wheat Wine Ale,Smuttynose Brewing Co.,Portsmouth,Shelby,NH,Other Strong Beer,2011,53
484,Gold,Mangalitsa Pig Porter,Right Brain Brewery,Traverse City,Grand Traverse,MI,Experimental Beer,2011,83
485,Gold,Hqt,21st Amendment Brewery,San Francisco,San Francisco,CA,Indigenous Beer,2011,31
486,Gold,Gluten-Free Lemon Pale,Strange Brewing Co.,Denver,Denver,CO,Gluten Free Beer,2011,15
487,Gold,Angry Birds,Haymarket Pub & Brewery,Chicago,Cook,IL,American Belgo Style Ale,2011,43
488,Gold,Le Terroir,New Belgium Brewing Co.,Fort Collins,Larimer,CO,American Style Sour Ale,2011,21
489,Gold,Confl uence,Allagash Brewing Co.,Portland,Ashley,ME,American Style Brett Ale,2011,31
490,Gold,Velvet Merkin,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,Wood  and Barrel Aged Beer,2011,40
491,Gold,Melange a Trois,Nebraska Brewing Co.,Papillion,Sarpy,NE,Wood  and Barrel Aged Strong Beer,2011,118
492,Gold,Bourbon Murder,Deschutes Brewery,Bend,Tehama,OR,Wood  and Barrel Aged Strong Stout,2011,74
493,Gold,Friek,Odell Brewing Co.,Fort Collins,Larimer,CO,Wood  and Barrel Aged Sour Beer,2011,75
494,Gold,Expedition Stout,Bell’s Brewery,Galesburg,Knox,MI,Aged Beer,2011,36
495,Gold,Kolsch Kellerbier,Mad Fox Brewing Co.,Falls Church,Falls Church (city),VA,Kellerbier or Zwickelbier,2011,48
496,Gold,Smoke Ale,Rogue Ales,Portland,Ashley,OR,Smoke Beer,2011,43
497,Gold,BEER,La Cumbre Brewing Co.,Albuquerque,Bernalillo,NM,American Style or International Style Pilsener,2011,31
498,Gold,Pavlov’s Pils,C.B. & Potts Restaurant & Brewery - Fort Collins,Fort Collins,Larimer,CO,German Style Pilsener,2011,42
499,Gold,Chuckanut Helles,Chuckanut Brewery,Bellingham,Norfolk,WA,Munich Style Helles,2011,38
500,Gold,Move Back,The SandLot,Denver,Denver,CO,Dortmunder or German Style Oktoberfest,2011,20
501,Gold,Old Milwaukee Light,Pabst Brewing Co.,Woodridge,DuPage,IL,American Style Lager Light Lager or Premium Lager,2011,55
502,Gold,Red Dog,Miller Brewing Co.,Milwaukee,Milwaukee,WI,American Style Specialty Lager or Cream Ale or Lager,2011,31
503,Gold,Jomo Lager,Starr Hill Brewery,Crozet,Albemarle,VA,Vienna Style Lager,2011,32
504,Gold,Stein Knocker,Hoppers Grill & Brewing Co.,Midvale,Washington,UT,German Style Märzen,2011,58
505,Gold,Uberbrau,Humperdink’s Restaurant and Brewery,Dallas,Marion,TX,American Style Amber Lager,2011,58
506,Gold,Dunkel Lager,Glenwood Canyon Brewing Co.,Glenwood Springs,Garfield,CO,European Style Dunkel,2011,23
507,Gold,Durango Dark,Durango Brewing Co.,Durango,La Plata,CO,American Style Dark Lager,2011,16
508,Gold,TAPS Schwarzbier,"TAPS Fish House & Brewery (Corona, CA)",Brea,Orange,CA,German Style Schwarzbier,2011,26
509,Gold,Troegenator,Tröegs Brewing Co.,Harrisburg,Poinsett,PA,Bock,2011,34
510,Gold,Autumnal Fire,Capital Brewery Co.,Middleton,Canyon,WI,German Style Doppelbock or Eisbock,2011,22
511,Gold,Battle Axe Baltic Porter,Fat Head’s Brewery,North Olmsted,Cuyahoga,OH,Baltic Style Porter,2011,19
512,Gold,Blonde,Ram Restaurant & Brewery - Seattle,Seattle,King,WA,Golden or Blonde Ale,2011,56
513,Gold,Chuckanut Kolsch,Chuckanut Brewery,Bellingham,Norfolk,WA,Golden or Blonde Ale,2011,56
514,Gold,Summer Lovin’,Blue Mountain Brewery,Afton,San Bernardino,VA,English Style Summer Ale,2011,33
515,Gold,Clear Creek Pale Ale,Silver City Brewery,Bremerton,Kitsap,WA,Classic English Style Pale Ale,2011,25
516,Gold,Samuel Adams Latitude 48 Hallertau Mittelfrueh,Boston Beer Co.,Boston,Thomas,MA,English Style India Pale Ale,2011,46
517,Gold,Boulevard Pale Ale,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,International Style Pale Ale,2011,20
518,Gold,Pale 31,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,American Style Pale Ale,2011,105
519,Gold,Pako’s Eye P.A.,Snake River Brewing,Jackson,Clarke,WY,American Style Strong Pale Ale,2011,103
520,Gold,Elevated IPA,La Cumbre Brewing Co.,Albuquerque,Bernalillo,NM,American Style India Pale Ale,2011,176
521,Gold,Citra Double IPA,Kern River Brewing,Kernville,Kern,CA,Imperial India Pale Ale,2011,102
522,Gold,Amber Waves,21st Amendment Brewery,San Francisco,San Francisco,CA,American Style Amber/Red Ale,2011,82
523,Gold,547 Haight - The Toronado San Francisco’s 20th Anniversary Imperial Red Ale,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Imperial Red Ale,2011,57
524,Gold,Skidmark Brown Ale,Pizza Port Ocean Beach,San Diego,San Diego,CA,English Style Mild Ale,2011,25
525,Gold,DBA,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,Ordinary or Special Bitter,2011,28
526,Gold,Minaret ESB,Cigar City Brewing,Tampa,Hillsborough,FL,Extra Special Bitter,2011,43
527,Gold,Hope and King Scotch Ale,Minneapolis Town Hall Brewery,Minneapolis,Ottawa,MN,Scottish Style Ale,2011,27
528,Gold,O’Rion Irish Red,Equinox Brewing,Fort Collins,Larimer,CO,Irish Style Red Ale,2011,31
529,Gold,Good Grief Brown,Pizza Port Carlsbad,Carlsbad,San Diego,CA,English Style Brown Ale,2011,45
530,Gold,Great American Brown,Pizza Port Carlsbad,Carlsbad,San Diego,CA,American Style Brown Ale,2011,49
531,Gold,Blacktop IPA,New Glarus Brewing Co.,New Glarus,Green,WI,American Style Black Ale,2011,74
532,Gold,Little Red Cap,Grimm Brothers Brewhouse,Loveland,Larimer,CO,German Style Altbier,2011,30
533,Gold,Berliner Weisse,Crabtree Brewing Co.,Greeley,Weld,CO,German Style Sour Ale,2011,13
534,Gold,Hefeweizen,Dry Dock Brewing,Aurora,Adams,CO,South German Style Hefeweizen,2011,64
535,Gold,Boscos Hefeweizen,Boscos Brewing Co.,Memphis,Pickens,TN,German Style Wheat Ale,2011,23
536,Gold,Witte,Brewery Ommegang,Cooperstown,Otsego,NY,Belgian Style Witbier,2011,53
537,Gold,Saison-Brett,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,French  and Belgian Style Saison,2011,65
538,Gold,California Ale,Telegraph Brewing Co.,Santa Barbara,Santa Barbara,CA,Belgian  and French Style Ale,2011,56
539,Gold,Fifth Element 2008,Squatters Pub Brewery,Salt Lake City,Salt Lake,UT,Belgian Style Lambic or Sour Ale,2011,51
540,Gold,Brother David’s Double,Anderson Valley Brewing Co.,Boonville,Mendocino,CA,Belgian Style Abbey Ale,2011,76
541,Gold,Buffalo Slumber,Sun King Brewing Co.,Indianapolis,Marion,IN,Belgian Style Strong Specialty Ale,2011,59
542,Gold,Out of Order Porter,Wind River Brewing Co.,Pinedale,Navajo,WY,Brown Porter,2011,32
543,Gold,Moonlight Porter,"Rock Bottom Brewery (La Jolla, CA)",Louisville,Barbour,CO,Robust Porter,2011,62
544,Gold,Ring of Dingle,Sun King Brewing Co.,Indianapolis,Marion,IN,Classic Irish Style Dry Stout,2011,24
545,Gold,Dark Side Stout,Silver Moon Brewing,Bend,Tehama,OR,Foreign Style Stout,2011,23
546,Gold,Jules Winnfi eld,Pizza Port Solana Beach,Solana Beach,San Diego,CA,American Style Stout,2011,37
547,Gold,Steel Toe Stout,Ska Brewing Co.,Durango,La Plata,CO,Sweet Stout,2011,19
548,Gold,Back Road Stout,Millstream Brewing Co.,Amana,Iowa,IA,Oatmeal Stout,2011,36
549,Gold,BORIS The Crusher Oatmeal-Imperial Stout,Hoppin’ Frog Brewing Co.,Akron,Hale,OH,Imperial Stout,2011,56
550,Gold,Wee Muckle,Sun King Brewing Co.,Indianapolis,Marion,IN,Scotch Ale,2011,39
551,Gold,Papier,The Bruery,Placentia,Orange,CA,Old Ale or Strong Ale,2011,35
552,Gold,Horn Dog Barleywine,Flying Dog Brewery,Frederick,Weld,MD,Barley Wine Style Ale,2011,42
553,Silver,Shredders Wheat,Barley Brown’s Brew Pub,Baker City,Baker,OR,American Style Wheat Beer,2011,20
554,Silver,Tumblewheat,Altitude Chophouse and Brewery,Laramie,Albany,WY,American Style Wheat Beer With Yeast,2011,38
555,Silver,Brainless on Peaches,Epic Brewing Co.,Salt Lake City,Salt Lake,UT,Fruit Beer,2011,56
556,Silver,Mr. Pineapple Wheat,SanTan Brewing Co.,Chandler,Maricopa,AZ,Fruit Wheat Beer,2011,48
557,Silver,Pumpkin Ale,BJ’s Restaurant & Brewery - Chandler,Chandler,Maricopa,AZ,Field Beer or Pumpkin Beer,2011,37
558,Silver,LSD,Minneapolis Town Hall Brewery,Minneapolis,Ottawa,MN,Herb and Spice Beer,2011,92
559,Silver,Samuel Adams Chocolate Chili Bock,Boston Beer Co.,Boston,Thomas,MA,Chocolate Beer,2011,30
560,Silver,Coffee Monster,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Coffee Beer,2011,60
561,Silver,Chateau Jiahu,Dogfi sh Head Craft Brewery,Milton,Sussex,DE,Specialty Beer,2011,24
562,Silver,Bock in Bock,Tequesta Brewing Co.,Tequesta,Palm Beach,FL,Rye Beer,2011,36
563,Silver,Eye of the Storm,Minneapolis Town Hall Brewery,Minneapolis,Ottawa,MN,Specialty Honey Beer,2011,32
564,Silver,Twerp,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Session Beer,2011,44
565,Silver,Saison du Summer,Backcountry Brewery,Frisco,Summit,CO,Other Strong Beer,2011,53
566,Silver,Petit Obscura,Telegraph Brewing Co.,Santa Barbara,Santa Barbara,CA,Experimental Beer,2011,83
567,Silver,Monticello Reserve Ale,Starr Hill Brewery,Crozet,Albemarle,VA,Indigenous Beer,2011,31
568,Silver,New Grist,Lakefront Brewery,Milwaukee,Milwaukee,WI,Gluten Free Beer,2011,15
569,Silver,Blue Reserve,Blue Mountain Brewery,Afton,San Bernardino,VA,American Belgo Style Ale,2011,43
570,Silver,Framboise de Amorosa,The Lost Abbey,San Marcos,San Diego,CA,American Style Sour Ale,2011,21
571,Silver,Super Friends IPA,Ithaca Beer Co.,Ithaca,Gratiot,NY,American Style Brett Ale,2011,31
572,Silver,Wee Pogue,Sun King Brewing Co.,Indianapolis,Marion,IN,Wood  and Barrel Aged Beer,2011,40
573,Silver,BBJ (Bourbon Barrel Johan),Sun King Brewing Co.,Indianapolis,Marion,IN,Wood  and Barrel Aged Strong Beer,2011,118
574,Silver,2010 Bourbon Barrel Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,Forsyth,NC,Wood  and Barrel Aged Strong Stout,2011,74
575,Silver,The Wanderer,The Bruery,Placentia,Orange,CA,Wood  and Barrel Aged Sour Beer,2011,75
576,Silver,Release the Hounds,Bull & Bush Brewery,Denver,Denver,CO,Aged Beer,2011,36
577,Silver,Bottle Rocket Lager,Uncle Billy’s Brew & Que - Lake Travis,Austin,Lonoke,TX,Kellerbier or Zwickelbier,2011,48
578,Silver,Smoke Out,Starr Hill Brewery,Crozet,Albemarle,VA,Smoke Beer,2011,43
579,Silver,Popcorn Pilsner,Sun King Brewing Co.,Indianapolis,Marion,IN,American Style or International Style Pilsener,2011,31
580,Silver,Sunshine Pils,Tröegs Brewing Co.,Harrisburg,Poinsett,PA,German Style Pilsener,2011,42
581,Silver,Mama’s Little Yella Pils,Oskar Blues Brewery,Longmont,Boulder,CO,Bohemian Style Pilsener,2011,42
582,Silver,Where in the Helles Gunner?,Emmett’s Brewing Co.,West Dundee,Kane,IL,Munich Style Helles,2011,38
583,Silver,Tommy Two Fists,Devils Backbone Brewing Co.,Roseland,Sonoma,VA,Dortmunder or German Style Oktoberfest,2011,20
584,Silver,Busch Light,Anheuser-Busch,Saint Louis,Gratiot,MO,American Style Lager Light Lager or Premium Lager,2011,55
585,Silver,Rainier,Pabst Brewing Co.,Woodridge,DuPage,IL,American Style Specialty Lager or Cream Ale or Lager,2011,31
586,Silver,Cityfest,Brewzzi,West Palm Beach,Palm Beach,FL,Vienna Style Lager,2011,32
587,Silver,Munster Fest,Three Floyds Brewing Co.,Munster,Lake,IN,German Style Märzen,2011,58
588,Silver,Colorado Native,AC Golden Brewing Co.,Golden,Jefferson,CO,American Style Amber Lager,2011,58
589,Silver,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,Norfolk,WA,European Style Dunkel,2011,23
590,Silver,Session Black,Full Sail Brewing Co.,Hood River,Hood River,OR,American Style Dark Lager,2011,16
591,Silver,Nevermore Lager,"Rock Bottom Brewery (King of Prussia, PA)",Louisville,Barbour,CO,German Style Schwarzbier,2011,26
592,Silver,PrePro Bock,Coors Archive Brewery,Golden,Jefferson,CO,Bock,2011,34
593,Silver,St. Nik Brewer’s Reserve,Pennsylvania Brewing Co.,Pittsburgh,Allegheny,PA,German Style Doppelbock or Eisbock,2011,22
594,Silver,White Eagle Baltic Porter,Montana Brewing Co.,Billings,Christian,MT,Baltic Style Porter,2011,19
595,Silver,Alaskan Pale Ale,Alaskan Brewing Co.,Juneau,Juneau,AK,Golden or Blonde Ale,2011,56
596,Silver,Great Adirondack Kölsch,Great Adirondack Brewing Co.,Lake Placid,Highlands,NY,Golden or Blonde Ale,2011,56
597,Silver,Peacemaker,Austin Beerworks,Austin,Lonoke,TX,English Style Summer Ale,2011,33
598,Silver,MacTarnahan’s Amber Ale,MacTarnahan’s Brewing Co.,Portland,Ashley,OR,Classic English Style Pale Ale,2011,25
599,Silver,Napa Smith Organic IPA,Napa Smith Brewery,Napa,Napa,CA,English Style India Pale Ale,2011,46
600,Silver,Intercontinental Pale Ale,Flossmoor Station Brewing Co.,Flossmoor,Cook,IL,International Style Pale Ale,2011,20
601,Silver,Mission St. Pale,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,American Style Pale Ale,2011,105
602,Silver,AleSmith IPA,AleSmith Brewing Co.,San Diego,San Diego,CA,American Style Strong Pale Ale,2011,103
603,Silver,Deviant Dale’s,Oskar Blues Brewery,Longmont,Boulder,CO,American Style India Pale Ale,2011,176
604,Silver,Double Jack,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,Imperial India Pale Ale,2011,102
605,Silver,Jamaica Red Ale,Mad River Brewing Co.,Blue Lake,Humboldt,CA,American Style Amber/Red Ale,2011,82
606,Silver,Rhino Chaser Imperial Red Ale,Pizza Port Ocean Beach,San Diego,San Diego,CA,Imperial Red Ale,2011,57
607,Silver,Dawn Patrol Dark,Pizza Port Solana Beach,Solana Beach,San Diego,CA,English Style Mild Ale,2011,25
608,Silver,New Speedway Bitter,Magnolia Gastropub and Brewery,San Francisco,San Francisco,CA,Ordinary or Special Bitter,2011,28
609,Silver,Colorado Kind,Mountain Sun Pub and Brewery,Boulder,Boulder,CO,Extra Special Bitter,2011,43
610,Silver,Naughty Scot,"Rock Bottom Brewery (College Park - Indianapolis, IN)",Louisville,Barbour,CO,Scottish Style Ale,2011,27
611,Silver,Copperhead Red,Ghost River Brewing,Memphis,Pickens,TN,Irish Style Red Ale,2011,31
612,Silver,Rock Bottom Brown Ale,"Rock Bottom Brewery (San Diego, CA)",Louisville,Barbour,CO,English Style Brown Ale,2011,45
613,Silver,Redrock Nut Brown Ale,Redrock Brewing Co.,Salt Lake City,Salt Lake,UT,American Style Brown Ale,2011,49
614,Silver,Blackened CDA,Carter’s Brewing,Billings,Christian,MT,American Style Black Ale,2011,74
615,Silver,TAPS Alt,"TAPS Fish House & Brewery (Brea, CA)",Brea,Orange,CA,German Style Altbier,2011,30
616,Silver,Hottenroth Berliner Weisse,The Bruery,Placentia,Orange,CA,German Style Sour Ale,2011,13
617,Silver,Wild Pitch Hefe Weizen,The SandLot,Denver,Denver,CO,South German Style Hefeweizen,2011,64
618,Silver,Weizenbock,Sierra Nevada Brewing Co.,Chico,Butte,CA,German Style Wheat Ale,2011,23
619,Silver,La Perouse White,Maui Brewing Co. - Brewpub,Maui,#N/A,HI,Belgian Style Witbier,2011,53
620,Silver,Funkwerks Saison,Funkwerks,Fort Collins,Larimer,CO,French  and Belgian Style Saison,2011,65
621,Silver,TAPS Biere de Garde,"TAPS Fish House & Brewery (Corona, CA)",Brea,Orange,CA,Belgian  and French Style Ale,2011,56
622,Silver,Blue Sunday,New Holland Brewing Co.,Holland,Faulkner,MI,Belgian Style Lambic or Sour Ale,2011,51
623,Silver,Wild-Westmalle Tripel,Chicago Brewing Co.,Las Vegas,Clark,NV,Belgian Style Abbey Ale,2011,76
624,Silver,Revelations,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Belgian Style Strong Specialty Ale,2011,59
625,Silver,FireHouse Porter,FireHouse Grill & Brewery,Sunnyvale,Santa Clara,CA,Brown Porter,2011,32
626,Silver,DeadEye Jack Porter,LoneRider Brewing Co.,Raleigh,Levy,NC,Robust Porter,2011,62
627,Silver,Breakside Dry Stout,Breakside Brewery,Portland,Ashley,OR,Classic Irish Style Dry Stout,2011,24
628,Silver,Malpais Stout,La Cumbre Brewing Co.,Albuquerque,Bernalillo,NM,Foreign Style Stout,2011,23
629,Silver,Achievement Beyond Life’s Experiences American Stout,Brit Antrim Benefit Beer Pizza Port Ocean Beach,San Diego,San Diego,CA,American Style Stout,2011,37
630,Silver,Cream Stout,Redwood Brewing Co.,Flint,Genesee,MI,Sweet Stout,2011,19
631,Silver,Oatmeal Stout,Crabtree Brewing Co.,Greeley,Weld,CO,Oatmeal Stout,2011,36
632,Silver,Russian Imperial Stout,Iron Hill Brewery & Restaurant,Wilmington,New Castle,DE,Imperial Stout,2011,56
633,Silver,Wee Heavy,Vintage Brewing Co.,Madison,Madison,WI,Scotch Ale,2011,39
634,Silver,AleSmith Decadence ‘10 Old Ale,AleSmith Brewing Co.,San Diego,San Diego,CA,Old Ale or Strong Ale,2011,35
635,Silver,AleSmith Old Numbskull,AleSmith Brewing Co.,San Diego,San Diego,CA,Barley Wine Style Ale,2011,42
636,Bronze,Wagon Box Wheat,Black Tooth Brewing Co.,Sheridan,Grant,WY,American Style Wheat Beer,2011,20
637,Bronze,Leavenworth Whistling Pig Hefeweizen,Fish Brewing Co.,Olympia,Bath,WA,American Style Wheat Beer With Yeast,2011,38
638,Bronze,Derailed Black Cherry Ale,Erie Brewing Co.,Erie,Boulder,PA,Fruit Beer,2011,56
639,Bronze,Vintage Blonde Ale,Blue Moon Brewing Co.,Golden,Jefferson,CO,Fruit Wheat Beer,2011,48
640,Bronze,Turnip the Beets,Bull & Bush Brewery,Denver,Denver,CO,Field Beer or Pumpkin Beer,2011,37
641,Bronze,CBC Heather Ale,Cambridge Brewing Co.,Cambridge,Washington,MA,Herb and Spice Beer,2011,92
642,Bronze,Samuel Adams Chocolate Bock,Boston Beer Co.,Boston,Thomas,MA,Chocolate Beer,2011,30
643,Bronze,Coffee Milk Stout,Dry Dock Brewing,Aurora,Adams,CO,Coffee Beer,2011,60
644,Bronze,Denver Beer Co. Graham Cracker Porter,Denver Beer Co.,Denver,Denver,CO,Specialty Beer,2011,24
645,Bronze,Crank Tank,SweetWater Brewing Co.,Atlanta,Columbia,GA,Rye Beer,2011,36
646,Bronze,Midas Touch,Dogfi sh Head Craft Brewery,Milton,Sussex,DE,Specialty Honey Beer,2011,32
647,Bronze,Firestone Walker Extra Pale Ale,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,Session Beer,2011,44
648,Bronze,Totality Imperial Stout,FiftyFifty Brewing Co.,Truckee,Nevada,CA,Other Strong Beer,2011,53
649,Bronze,Belgorado,Wynkoop Brewing Co.,Denver,Denver,CO,Experimental Beer,2011,83
650,Bronze,Hot Rocks Lager,Port Brewing Co.,San Marcos,San Diego,CA,Indigenous Beer,2011,31
651,Bronze,Seeley Axe White,Kettlehouse Brewing Co.,Missoula,Missoula,MT,Gluten Free Beer,2011,15
652,Bronze,Boulevard Collaboration #2,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,American Belgo Style Ale,2011,43
653,Bronze,Ching Ching,Bend Brewing Co.,Bend,Tehama,OR,American Style Sour Ale,2011,21
654,Bronze,Grimalkin - Super Kitty Fantastico,Brugge Brasserie,Indianapolis,Marion,IN,American Style Brett Ale,2011,31
655,Bronze,Pinot Jubel,Deschutes Brewery,Bend,Tehama,OR,Wood  and Barrel Aged Beer,2011,40
656,Bronze,Barrel Aged Naked Evil BBW,Hoppin’ Frog Brewing Co.,Akron,Hale,OH,Wood  and Barrel Aged Strong Beer,2011,118
657,Bronze,Grand Inquisitor,Iron Hill Brewery & Restaurant,Wilmington,New Castle,DE,Wood  and Barrel Aged Strong Stout,2011,74
658,Bronze,Le Serpent Cerise,Snake River Brewing,Jackson,Clarke,WY,Wood  and Barrel Aged Sour Beer,2011,75
659,Bronze,2004 Triple Exultation,Eel River Brewing Co.,Fortuna,Humboldt,CA,Aged Beer,2011,36
660,Bronze,B3K Schwarzbier,Wynkoop Brewing Co.,Denver,Denver,CO,Kellerbier or Zwickelbier,2011,48
661,Bronze,Alaskan Smoked Porter 2010,Alaskan Brewing Co.,Juneau,Juneau,AK,Smoke Beer,2011,43
662,Bronze,Legacy Lager,Silver Moon Brewing,Bend,Tehama,OR,American Style or International Style Pilsener,2011,31
663,Bronze,Pilsner,Marble Brewery,Albuquerque,Bernalillo,NM,German Style Pilsener,2011,42
664,Bronze,Pilsner,McCoy’s Public House and Brewkitchen,Kansas City,Wyandotte,MO,German Style Pilsener,2011,42
665,Bronze,Órale,Del Norte Brewing Co.,Denver,Denver,CO,Munich Style Helles,2011,38
666,Bronze,Dog Days Lager,Two Brothers Brewing Co.,Warrenville,DuPage,IL,Dortmunder or German Style Oktoberfest,2011,20
667,Bronze,Pabst Blue Ribbon Light,Pabst Brewing Co.,Woodridge,DuPage,IL,American Style Lager Light Lager or Premium Lager,2011,55
668,Bronze,Old Style,Pabst Brewing Co.,Woodridge,DuPage,IL,American Style Specialty Lager or Cream Ale or Lager,2011,31
669,Bronze,Vienna Red Lager,Iron Hill Brewery & Restaurant,Wilmington,New Castle,DE,Vienna Style Lager,2011,32
670,Bronze,Samuel Adams Octoberfest,Boston Beer Co.,Boston,Thomas,MA,German Style Märzen,2011,58
671,Bronze,Florida Beer Florida Lager,Florida Beer Co.,Melbourne,Izard,FL,American Style Amber Lager,2011,58
672,Bronze,Penn Dark,Pennsylvania Brewing Co.,Pittsburgh,Allegheny,PA,European Style Dunkel,2011,23
673,Bronze,Schwarzbier,AC Golden Brewing Co.,Golden,Jefferson,CO,American Style Dark Lager,2011,16
674,Bronze,Gordon Biersch Schwarzbier,"Gordon Biersch Brewery Restaurant (Seattle, WA)",Chattanooga,Mercer,TN,German Style Schwarzbier,2011,26
675,Bronze,Maibock,Stewart’s Brewing Co.,Bear,New Castle,DE,Bock,2011,34
676,Bronze,Eisphyre,Capital Brewery Co.,Middleton,Canyon,WI,German Style Doppelbock or Eisbock,2011,22
677,Bronze,Puddy Porter,Triple Rock Brewery and Alehouse,Berkeley,Alameda,CA,Baltic Style Porter,2011,19
678,Bronze,Kent Lake Kolsch,Iron Springs Pub & Brewery,Fairfax,Marin,CA,Golden or Blonde Ale,2011,56
679,Bronze,Capital City Kolsch,Blind Tiger Brewery & Restaurant,Topeka,Mason,KS,Golden or Blonde Ale,2011,56
680,Bronze,Mad Fox Brewing Company English Summer Ale,Mad Fox Brewing Co.,Falls Church,Falls Church (city),VA,English Style Summer Ale,2011,33
681,Bronze,Prime Time Pale Ale,Big Time Brewery,Seattle,King,WA,Classic English Style Pale Ale,2011,25
682,Bronze,Down ‘n’ Dirty IPA,Deschutes Brewery,Bend,Tehama,OR,English Style India Pale Ale,2011,46
683,Bronze,Radiant,Ninkasi Brewing Co.,Eugene,Cole,OR,International Style Pale Ale,2011,20
684,Bronze,Ute Trail Pale Ale,Amicas,Salida,Stanislaus,CO,American Style Pale Ale,2011,105
685,Bronze,Hop Knot,Four Peaks Brewing Co.,Tempe,Maricopa,AZ,American Style Strong Pale Ale,2011,103
686,Bronze,Head Hunter IPA,Fat Head’s Brewery,North Olmsted,Cuyahoga,OH,American Style India Pale Ale,2011,176
687,Bronze,Imperial IPA,Epic Brewing Co.,Salt Lake City,Salt Lake,UT,Imperial India Pale Ale,2011,102
688,Bronze,Rocket Red,"Big River Grille and Brewing (Disney Boardwalk, FL)",Chattanooga,Mercer,TN,American Style Amber/Red Ale,2011,82
689,Bronze,Organic Deranger,Laurelwood Brewing Co.,Portland,Ashley,OR,Imperial Red Ale,2011,57
690,Bronze,Bird and Baby Mild,The Public House Brewing Co.,Rolla,Morton,MO,English Style Mild Ale,2011,25
691,Bronze,Bonnie Lee’s Best Bitter,Magnolia Gastropub and Brewery,San Francisco,San Francisco,CA,Ordinary or Special Bitter,2011,28
692,Bronze,Harvest Ale,Goose Island Beer Co.,Chicago,Cook,IL,Extra Special Bitter,2011,43
693,Bronze,Brown Bear Brown,"Rock Bottom Brewery (Bethesda, MD)",Louisville,Barbour,CO,Scottish Style Ale,2011,27
694,Bronze,Colorado Boy Irish Ale,Colorado Boy Brewing Co.,Ridgway,Ouray,CO,Irish Style Red Ale,2011,31
695,Bronze,Molly’s Titanic Brown,"Rock Bottom Brewery (Westminster, CO)",Louisville,Barbour,CO,English Style Brown Ale,2011,45
696,Bronze,Brave American,American Brewing Co.,Edmonds,Madison,WA,American Style Brown Ale,2011,49
697,Bronze,Black Racer,Bear Republic Brewing Co.,Healdsburg,Sonoma,CA,American Style Black Ale,2011,74
698,Bronze,Chuckanut Alt,Chuckanut Brewery,Bellingham,Norfolk,WA,German Style Altbier,2011,30
699,Bronze,Gordon Biersch Goze,"Gordon Biersch Brewery Restaurant (Rockville, MD)",Chattanooga,Mercer,TN,German Style Sour Ale,2011,13
700,Bronze,EOS,Nebraska Brewing Co.,Papillion,Sarpy,NE,South German Style Hefeweizen,2011,64
701,Bronze,Dark-n-Curvy,Piece Brewery,Chicago,Cook,IL,German Style Wheat Ale,2011,23
702,Bronze,ZON,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,Belgian Style Witbier,2011,53
703,Bronze,Sofie,Goose Island Beer Co.,Chicago,Cook,IL,French  and Belgian Style Saison,2011,65
704,Bronze,Pin-Up Blonde,Bastone Brewery,Royal Oak,Talbot,MI,Belgian  and French Style Ale,2011,56
705,Bronze,Barton Kriek,North by Northwest,Austin,Lonoke,TX,Belgian Style Lambic or Sour Ale,2011,51
706,Bronze,Two Tortugas,Karl Strauss Brewing Co.,San Diego,San Diego,CA,Belgian Style Abbey Ale,2011,76
707,Bronze,The Twelve,Black Diamond Brewing Co.,Concord,Jefferson,CA,Belgian Style Strong Specialty Ale,2011,59
708,Bronze,Porter,Lexington Avenue Brewery,Asheville,Buncombe,NC,Brown Porter,2011,32
