id,Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
91,Silver,Brooklyner-Schneider Hopfen-Weisse,Brooklyn Brewery,Brooklyn,Conecuh,NY,Out of Category – Traditionally Brewed Beer,2009,82
92,Silver,Redbridge,Anheuser-Busch Inc.,Saint Louis,Gratiot,MO,Gluten Free Beer,2009,10
93,Silver,The Crow and The Sparrow,Rock Bottom Brewery - Chicago,Chicago,Cook,IL,American Belgo Style Ale,2009,51
94,Silver,Raspberry Torte,Iron Hill Brewery & Restaurant,Wilmington,New Castle,DE,American Style Sour Ale,2009,32
95,Silver,Red Woody,Goose Island Beer Co.,Chicago,Cook,IL,Wood  and Barrel Aged Beer,2009,33
96,Silver,Barrel Aged Gonzo,Flying Dog Brewery,Frederick,Weld,MD,Wood  and Barrel Aged Strong Beer,2009,110
97,Silver,Vlad the Imp Aler,Cascade Brewery Co. LLC,Portland,Ashley,OR,Wood  and Barrel Aged Sour Beer,2009,45
98,Silver,St. Bob’s Imperial Stout,IL Vicino Brewing Co.,Albuquerque,Bernalillo,NM,Aged Beer,2009,32
99,Silver,Natural Born Keller,Devil’s Backbone Brewing Co.,Roseland,Sonoma,VA,Kellerbier/Zwickelbier,2009,27
100,Silver,Up In Smoke,Fat Head’s Brewery & Saloon,North Olmsted,Cuyahoga,OH,Smoked Beer,2009,43
101,Silver,OE800,Miller Brewing Co.,Golden,Jefferson,CO,International Style Pilsener,2009,13
102,Silver,Pilsner,Chuckanut Brewery,Bellingham,Norfolk,WA,German Style Pilsener,2009,48
103,Silver,Gordon Biersch Czech Pilsner,Gordon Biersch Brewery Restaurant Group,Broomfield,Broomfield,CO,Bohemian Style Pilsener,2009,39
104,Silver,Where the Helles Bill?,The SandLot,Denver,Denver,CO,Munich Style Helles,2009,31
105,Silver,Greenside Up,The SandLot,Denver,Denver,CO,Dortmunder or German Style Oktoberfest,2009,20
106,Silver,Keystone Light,Coors Brewing Co.,Golden,Jefferson,CO,American Style Light Lager,2009,25
107,Silver,Miller High Life,Miller Brewing Co.,Golden,Jefferson,CO,American Style Lager or Premium Lager,2009,34
