#,category,AleSmith Brewing Co.,Alpine Beer Co.,BNS Brewing & Distilling Co.,Bagby Beer Co.,Ballast Point Brewing & Spirits - Scripps Ranch,Ballast Point Brewing Co,Ballast Point Brewing Co.,Ballast Point Brewing Co. - Home Brew Mart,Benchmark Brewing Co.,Breakwater Brewing Co.,Brit Antrim Benefit Beer Pizza Port Ocean Beach,Burgeon Beer Co.,Coronado Brewing Company Brewpub,Culture Brewing Co.,Duck Foot Brewing Co.,Eppig Brewing,Green Flash Brewing Co.,Groundswell Brewing Co.,Home Brewing Co.,Karl Strauss Brewing Co.,Karl Strauss Brewing Co. - Carlsbad,Karl Strauss Brewing Co. - La Jolla,Karl Strauss Brewing Co. - San Diego,Kilowatt Brewing,Monkey Paw Brewing,Monkey Paw Brewing Co.,Mother Earth Brew Co.,New English Brewing Co.,North Park Beer Co.,OB Brewery,Ocean Beach Brewery,Oceanside Ale Works,Pizza Port Bressi Ranch,Pizza Port Carlsbad,Pizza Port Ocean Beach,Pizza Port Solana Beach,Port Brewing Co.,Port Brewing Co. / The Lost Abbey,Pure Project,Rip Current Brewery,Rock Bottom Brewery - La Jolla,Saint Archer Brewing Co.,Second Chance Beer Co.,Societe Brewing Co.,South Park Brewing - CA,SouthNorte Beer Co.,Stone Brewing Co.,Stone Brewing World Bistro & Gardens - Liberty Station,The Beer Co.,The Lost Abbey,URBN St. Brewing Co.
21,Chocolate Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Classic Irish Style Dry Stout,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Coffee Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Coffee Flavored Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Double Red Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,English Style Brown Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,English Style India Pale Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,English Style Mild Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,English Style Summer Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Experimental Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,Export Stout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Extra Special Bitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
