,Medal,Beer Name,Brewery,City,State,Category,Year
53,Bronze,Flavor Country,Austin Beerworks,Austin,TX,Australian-Style Pale Ale,2018
54,Gold,Odin's Sword,Big Island Brewhaus,Kamuela,HI,Baltic-Style Porter,2018
55,Silver,Death and the Maiden,Cambridge Brewing Co.,Cambridge,MA,Baltic-Style Porter,2018
56,Bronze,Bangor Slate Baltic Porter,Two Rivers Brewing Co.,Easton,PA,Baltic-Style Porter,2018
57,Gold,Chicago Overcoat,Midnight Pig Beer,Plainfield,IL,Barley Wine-Style Ale,2018
58,Silver,Barnacled Manatee,Walking Tree Brewery,Vero Beach,FL,Barley Wine-Style Ale,2018
59,Bronze,Bear Temper,Trustworthy Brewing Co.,Burbank,CA,Barley Wine-Style Ale,2018
60,Gold,5 Branches Biere de Garde,Munkle Brewing Co.,Charleston,SC,Belgian- and French-Style Ale,2018
61,Silver,Biere de Garde,Blackberry Farm Brewery,Walland,TN,Belgian- and French-Style Ale,2018
62,Bronze,Abby Blonde,Thirsty Monk Pub Brewery,Denver,CO,Belgian- and French-Style Ale,2018
63,Gold,Jean-Claude Van Blond,Wit's End Brewing Co.,Denver,CO,Belgian-Style Blonde Ale or Pale Ale,2018
64,Silver,Singel,Hardywood West Creek,Richmond,VA,Belgian-Style Blonde Ale or Pale Ale,2018
65,Bronze,Blonde Betty,Smuggler's Brewpub,Telluride,CO,Belgian-Style Blonde Ale or Pale Ale,2018
66,Gold,BJ's Quad,BJ's Restaurant & Brewery - Boulder,Boulder,CO,Belgian-Style Dubbel or Quadrupel,2018
67,Silver,Kung Fu Smurf,Bastone Brewery,Royal Oak,MI,Belgian-Style Dubbel or Quadrupel,2018
68,Bronze,Deduction,Taxman Brewing Co.,Bargersville,IN,Belgian-Style Dubbel or Quadrupel,2018
69,Gold,Foxy Lady,Silver City Brewery,Bremerton,WA,Belgian-Style Fruit Beer,2018
70,Silver,Blood-Orange Wit,Great Basin Brewing Co. - Sparks,Sparks,NV,Belgian-Style Fruit Beer,2018
71,Bronze,Kumquat Saison,Smog City Brewing Wood Cellar,Torrance,CA,Belgian-Style Fruit Beer,2018
72,Gold,Funk Yeah,Beachwood Blendery,Long Beach,CA,Belgian-Style Lambic or Sour Ale,2018
73,Silver,Triad,IMBIB Custom Brews,Reno,NV,Belgian-Style Lambic or Sour Ale,2018
74,Bronze,I Am Only Memories,Orpheus Brewing,Atlanta,GA,Belgian-Style Lambic or Sour Ale,2018
75,Gold,Midwatch,Figurehead Brewing Co.,Seattle,WA,Belgian-Style Strong Specialty Ale,2018
76,Silver,Qualified,Taxman Brewing Co.,Bargersville,IN,Belgian-Style Strong Specialty Ale,2018
77,Bronze,Sol Hominis (The Sun Of Man),Save the World Brewing Co.,Marble Falls,TX,Belgian-Style Strong Specialty Ale,2018
78,Gold,Tripel Carmel-ite,Flix Brewhouse - Carmel,Carmel,IN,Belgian-Style Tripel,2018
79,Silver,Belgian Tripel,Village Idiot Brewing Co.,Mount Holly,NJ,Belgian-Style Tripel,2018
80,Bronze,Neighbor Girl,Paradigm Shift Brewing,Massillon,OH,Belgian-Style Tripel,2018
81,Gold,Biére Blanche,Pedal Haus Brewery,Tempe,AZ,Belgian-Style Witbier,2018
82,Silver,Optimal Wit,Port City Brewing Co.,Alexandria,VA,Belgian-Style Witbier,2018
83,Bronze,Allagash White,Allagash Brewing Co.,Portland,ME,Belgian-Style Witbier,2018
84,Gold,Baywindow,10 Barrel Brewing Co.,Bend,OR,Berliner-Style Weisse,2018
85,Silver,Germophile,Rowley Farmhouse Ales,Santa Fe,NM,Berliner-Style Weisse,2018
86,Bronze,Nevada Weisse,IMBIB Custom Brews,Reno,NV,Berliner-Style Weisse,2018
87,Gold,Guten Bock,Gilded Goat Brewing Co.,Fort Collins,CO,Bock,2018
88,Silver,New Kids on Maibock,Independent Brewing Co.,Bel Air,MD,Bock,2018
89,Bronze,Blind Tiger Bock,Blind Tiger Brewery & Restaurant,Topeka,KS,Bock,2018
90,Gold,Bohemian Pilsner,Gordon Biersch Brewery Restaurant - Tysons Corner,Broomfield,CO,Bohemian-Style Pilsener,2018
91,Silver,Pompey's Pilsner,Lewis & Clark Brewing Co.,Helena,MT,Bohemian-Style Pilsener,2018
92,Bronze,Bird Park,North Park Beer Co.,San Diego,CA,Bohemian-Style Pilsener,2018
93,Gold,C'mon Sunshine,Birds Fly South Ale Project,Greenville,SC,Brett Beer,2018
94,Silver,Terroir Pinot Gris,Alesong Brewing & Blending,Eugene,OR,Brett Beer,2018
95,Bronze,Touch of Brett Mandarina,Alesong Brewing & Blending,Eugene,OR,Brett Beer,2018
96,Gold,Maduro Brown Ale,Cigar City Brewing,Tampa,FL,Brown Porter,2018
97,Silver,Brown Claw,Kern River Brewing Co.,Kernville,CA,Brown Porter,2018
98,Bronze,Knee-Knocker Porter,Crow Hop Brewing Co.,Loveland,CO,Brown Porter,2018
99,Gold,White Legs Jalapeno Wheat,Tribute Brewing Co.,Eagle River,WI,Chili Beer,2018
100,Silver,Chamuco,Künstler Brewing,San Antonio,TX,Chili Beer,2018
101,Bronze,San Antonio Hatch Lager,Ranger Creek Brewery,San Antonio,TX,Chili Beer,2018
102,Gold,Coco for Coxness,Copperpoint Brewing Co.,Boynton Beach,FL,Chocolate Beer,2018
103,Silver,Genesee Brew House Pilot Batch DarkChocolate Scotch Ale,Genesee Brew House,Rochester,NY,Chocolate Beer,2018
104,Bronze,Chocolate Macadamia Nut Stout,Kilowatt Brewing,San Diego,CA,Chocolate Beer,2018
105,Gold,Pale Ale,Omission Brewing Co.,Portland,OR,Classic English-Style Pale Ale,2018
106,Silver,MacTarnahan’s Amber Ale,Portland Brewing Co.,Portland,OR,Classic English-Style Pale Ale,2018
107,Bronze,Prickly Pear,Lewis & Clark Brewing Co.,Helena,MT,Classic English-Style Pale Ale,2018
108,Gold,Shooter McMunn's,Lost Rhino Brewing Co.,Ashburn,VA,Classic Irish-Style Dry Stout,2018
109,Silver,It's My Island,Pocock Brewing Co.,Santa Clarita,CA,Classic Irish-Style Dry Stout,2018
110,Bronze,Know Ego,Groundswell Brewing Co.,Santee,CA,Classic Irish-Style Dry Stout,2018
111,Gold,Saison,Bent Paddle Brewing Co.,Duluth,MN,Classic Saison,2018
112,Silver,One Arm Farmhouse Ale,Hobbs Tavern & Brewing Co.,West Ossipee,NH,Classic Saison,2018
113,Bronze,Hayshaker,Gunwhale Ales,Costa Mesa,CA,Classic Saison,2018
114,Gold,Coffee Cream Ale,Kiitos Brewing,Salt Lake City,UT,Coffee Beer,2018
