,Medal,Beer Name,Brewery,City,State,Category,Year
1244,Bronze,Mogabi,Elevator Brewing Co. - Production Facility,Columbus,OH,American-Style Wheat Beer,2015
1245,Gold,The Big O,O'so Brewing,Plover,WI,American-Style Wheat Beer With Yeast,2015
1246,Silver,WeldWerks Hefeweizen,WeldWerks Brewing Co.,Greeley,CO,American-Style Wheat Beer With Yeast,2015
1247,Bronze,Boulder Bend Dunkelweizen,Fish Brewing Co.,Olympia,WA,American-Style Wheat Beer With Yeast,2015
1248,Gold,Cobaltic Porter,Bottle Logic Brewing,Anaheim,CA,Baltic-Style Porter,2015
1249,Silver,Double Porter,Bemidji Brewing Co.,Bemidji,MN,Baltic-Style Porter,2015
1250,Bronze,Duck-Rabbit Baltic Porter,Duck-Rabbit Craft Brewery,Farmville,NC,Baltic-Style Porter,2015
1251,Gold,Fat Hog,Ritual Brewing Co.,Redlands,CA,Barley Wine-Style Ale,2015
1252,Silver,Statik,Brewery Rickoli,Wheat Ridge,CO,Barley Wine-Style Ale,2015
1253,Bronze,Old Skook,Three Magnets Brewing,Olympia,WA,Barley Wine-Style Ale,2015
1254,Gold,Vintage Monks,Adelbert's Brewery,Austin,TX,Belgian- and French-Style Ale,2015
1255,Silver,Grisette,Sly Fox Brewing Co.,Pottstown,PA,Belgian- and French-Style Ale,2015
1256,Bronze,Petite Classique,The Commons Brewery,Portland,OR,Belgian- and French-Style Ale,2015
1257,Gold,Bear Hair,Logboat Brewing Co.,Columbia,MO,Belgian-Style Blonde Ale or Pale Ale,2015
1258,Silver,Bleek Worden,Prison City Brewing,Auburn,NY,Belgian-Style Blonde Ale or Pale Ale,2015
1259,Bronze,Belgian Style Pale Ale,Aardwolf Brewing Co.,Jacksonville,FL,Belgian-Style Blonde Ale or Pale Ale,2015
1260,Gold,Sanitarium,Bier Brewery and Taproom,Indianapolis,IN,Belgian-Style Dubbel or Quadruple,2015
1261,Silver,Dubbel Entendre,River's Edge Brewing Co.,Milford,MI,Belgian-Style Dubbel or Quadruple,2015
1262,Bronze,Qualified,Taxman Brewing Co.,Bargersville,IN,Belgian-Style Dubbel or Quadruple,2015
1263,Gold,xReserve Ale 05-15 Peach and Ginger Saison,Saucony Creek Brewing Co.,Kutztown,PA,Belgian-Style Fruit Beer,2015
1264,Silver,Kumquat Saison,Smog City Brewing,Torrance,CA,Belgian-Style Fruit Beer,2015
1265,Bronze,Cherry Busey,Sun King Brewing Co.,Indianapolis,IN,Belgian-Style Fruit Beer,2015
1266,Gold,"Turbulent Consequence, Peche",Block 15,Corvallis,OR,Belgian-Style Lambic or Sour Ale,2015
1267,Silver,Feral One,Firestone Walker Barrelworks,Buellton,CA,Belgian-Style Lambic or Sour Ale,2015
1268,Bronze,Viejo Rojo,Tahoe Mountain Brewing Co. - Truckee,Truckee,CA,Belgian-Style Lambic or Sour Ale,2015
1269,Gold,Van Dammit,Jailbreak Brewing Co.,Laurel,MD,Belgian-Style Strong Specialty Ale,2015
1270,Silver,The Cannibal,Iron Hill Brewery & Restaurant - Chestnut Hill,Philadelphia,PA,Belgian-Style Strong Specialty Ale,2015
1271,Bronze,Quad Damn It,Chicago Brewing Co. - NV,Las Vegas,NV,Belgian-Style Strong Specialty Ale,2015
1272,Gold,Wild West Tripel,Chicago Brewing Co. - NV,Las Vegas,NV,Belgian-Style Tripel,2015
1273,Silver,Allagash Tripel,Allagash Brewing Co.,Portland,ME,Belgian-Style Tripel,2015
1274,Bronze,Millennium Trippel,Church Brew Works - Lawrenceville Brewery,Pittsburgh,PA,Belgian-Style Tripel,2015
1275,Gold,Allagash White,Allagash Brewing Co.,Portland,ME,Belgian-Style Witbier,2015
1276,Silver,White Rascal,Avery Brewing Co.,Boulder,CO,Belgian-Style Witbier,2015
1277,Bronze,Optimal Wit,Port City Brewing Co.,Alexandria,VA,Belgian-Style Witbier,2015
1278,Gold,Break Line Bock,Rip Current Brewery,San Marcos,CA,Bock,2015
1279,Silver,Rock Out with Maibock Out,Hailstorm Brewing Co.,Tinley Park,IL,Bock,2015
1280,Bronze,A Cart Ride to Mexico,Red Eye Brewing Co.,Wausau,WI,Bock,2015
1281,Gold,Shower Beer,Champion Brewing Co.,Charlottesville,VA,Bohemian-Style Pilsener,2015
1282,Silver,Bohemian Pilsner,von Trapp Brewing,Stowe,VT,Bohemian-Style Pilsener,2015
1283,Bronze,Peacemaker Pilsner,Pug Ryan's Brewing Co.,Dillon,CO,Bohemian-Style Pilsener,2015
1284,Gold,(512) Wild Bear,(512) Brewing Co.,Austin,TX,Brett Beer,2015
1285,Silver,Red Swingline IPA Primitif,Trinity Brewing,Colorado Springs,CO,Brett Beer,2015
1286,Bronze,2015 Golden Ale,New Glarus Brewing Co. - Hilltop,New Glarus,WI,Brett Beer,2015
1287,Gold,Disaster at Meux,Lion Bridge Brewing Co.,Cedar Rapids,IA,Brown Porter,2015
1288,Silver,Peter Brown Tribute Ale,Bear Republic Brewing Co. - Factory 5,Cloverdale,CA,Brown Porter,2015
1289,Bronze,Black Jack Porter,Left Hand Brewing Co.,Longmont,CO,Brown Porter,2015
1290,Gold,Fire Tiger,Lander Brewing Co.,Lander,WY,Chili Beer,2015
1291,Silver,Heir Apparent,Lickinghole Creek Craft Brewery,Goochland,VA,Chili Beer,2015
1292,Bronze,Ballast Point Pale Ale with Serrano,Ballast Point Brewing & Spirits - Scripps Ranch,San Diego,CA,Chili Beer,2015
1293,Gold,The Velvet Hog,TAPS Fish House & Brewery - Corona,Corona,CA,Chocolate Beer,2015
1294,Silver,El Toro Coco Chocolate Stout,El Toro Brewing Co.,Morgan Hill,CA,Chocolate Beer,2015
1295,Bronze,Wonka Bar,Mispillion River Brewing,Milford,DE,Chocolate Beer,2015
1296,Gold,Mr. Kite's Pale Ale,Social Kitchen & Brewery,San Francisco,CA,Classic English-Style Pale Ale,2015
1297,Silver,India Pale Ale,Arcadia Brewing Co.,Kalamazoo,MI,Classic English-Style Pale Ale,2015
1298,Bronze,PBW Pale Ale,Paducah Beer Werks,Paducah,KY,Classic English-Style Pale Ale,2015
1299,Gold,Stearns Stout,Figueroa Mountain Brewing - Santa Barbara,Santa Barbara,CA,Classic Irish-Style Dry Stout,2015
1300,Silver,Dragoon's Dry Irish Stout,Moylan's Brewery & Restaurant,Novato,CA,Classic Irish-Style Dry Stout,2015
1301,Bronze,Dry Stout,Reuben's Brews,Seattle,WA,Classic Irish-Style Dry Stout,2015
1302,Gold,Zumbar Chocolate Coffee Imperial Stout,New English Brewing Co.,San Diego,CA,Coffee Beer,2015
1303,Silver,Mocha Machine,Beachwood BBQ & Brewing,Long Beach,CA,Coffee Beer,2015
1304,Bronze,Bacon and Eggs,Pizza Port Ocean Beach,San Diego,CA,Coffee Beer,2015
1305,Gold,Oktoberfest,Fort Collins Brewery & Tavern,Fort Collins,CO,Dortmunder or German-Style Oktoberfest,2015
1306,Silver,Longboard Island Lager,Craft Brew Alliance - Kona Brewery,Kailua Kona,HI,Dortmunder or German-Style Oktoberfest,2015
1307,Bronze,Helles Lager,Lucky Envelope Brewing,Seattle,WA,Dortmunder or German-Style Oktoberfest,2015
1308,Gold,Bone Head Imperial Red,Fat Head's Brewery,Middleburg Heights,OH,Double Red Ale,2015
1309,Silver,Toaster Pastry,21st Amendment Brewery,San Leandro,CA,Double Red Ale,2015
1310,Bronze,GRAMBO,Pizza Port Solana Beach,Solana Beach,CA,Double Red Ale,2015
1311,Gold,Red Hydrant Ale,Big Dog's Brewing Co.,Las Vegas,NV,English-Style Brown Ale,2015
1312,Silver,No Name,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,English-Style Brown Ale,2015
1313,Bronze,Rogue River Brown,"Rockford Brewing Co. - Rockford, Michigan",Rockford,MI,English-Style Brown Ale,2015
1314,Gold,Shanghai'd IPA,Old Town Brewing,Portland,OR,English-Style India Pale Ale,2015
1315,Silver,Monumental IPA,Port City Brewing Co.,Alexandria,VA,English-Style India Pale Ale,2015
1316,Bronze,Hammersmith IPA,Firestone Walker Brewing Co.,Paso Robles,CA,English-Style India Pale Ale,2015
1317,Gold,Mild,Brothers Craft Brewing,Harrisonburg,VA,English-Style Mild Ale,2015
1318,Silver,Summer Porter,Fort Point Beer Co.,San Francisco,CA,English-Style Mild Ale,2015
1319,Bronze,Mamoot,Logboat Brewing Co.,Columbia,MO,English-Style Mild Ale,2015
1320,Gold,Beaverton Blonde,Golden Valley Brewery and Pub,McMinnville,OR,English-Style Summer Ale,2015
1321,Silver,Cream Ale,Newburgh Brewing Co.,Newburgh,NY,English-Style Summer Ale,2015
1322,Bronze,Lonely Blonde,Fulton Beer,Minneapolis,MN,English-Style Summer Ale,2015
1323,Gold,Gigi,Exile Brewing,Des Moines,IA,European-Style Dark/Münchner Dunkel,2015
1324,Silver,Fearless Youth,Grimm Brothers Brewhouse,Loveland,CO,European-Style Dark/Münchner Dunkel,2015
1325,Bronze,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,WA,European-Style Dark/Münchner Dunkel,2015
1326,Gold,Mystery Airship Imperial Chocolate Porter,New Helvetia Brewing Co.,Sacramento,CA,Experimental Beer,2015
1327,Silver,Melt My Brain,Short's Brewing Co.,Elk Rapids,MI,Experimental Beer,2015
1328,Bronze,Ramjet,Black Project Spontaneous & Wild Ales,Denver,CO,Experimental Beer,2015
1329,Gold,"Fade to Black, Volume 1",Left Hand Brewing Co.,Longmont,CO,Export Stout,2015
1330,Silver,Black Rock Stout,Crossroads Brewing Co.,Athens,NY,Export Stout,2015
1331,Bronze,Z-man Stout,Pizza Port Carlsbad,Carlsbad,CA,Export Stout,2015
1332,Gold,The Guilty Party,Gibb's Hundred Brewing Co.,Greensboro,NC,Extra Special Bitter,2015
1333,Silver,14° ESB,Bent Paddle Brewing Co.,Duluth,MN,Extra Special Bitter,2015
1334,Bronze,Red Fish,Flying Fish Brewing Co.,Somerdale,NJ,Extra Special Bitter,2015
1335,Gold,"Beets, Rhymes and Life",Fonta Flora Brewery,Morganton,NC,Field Beer,2015
1336,Silver,Window Seat Coconut Almond Porter,Baxter Brewing Co.,Auburn,ME,Field Beer,2015
1337,Bronze,Coconut Porter,Broken Compass Brewing,Breckenridge,CO,Field Beer,2015
1338,Gold,Siren's Lure,Fair Winds Brewing Co.,Lorton,VA,French- and Belgian-Style Saison,2015
1339,Silver,Daily Wages,Brasserie Saint James,Reno,NV,French- and Belgian-Style Saison,2015
1340,Bronze,Saison,URBN St. Brewing Co.,El Cajon,CA,French- and Belgian-Style Saison,2015
1341,Gold,Acequia IPA,Bosque Brewing Co.,Albuquerque,NM,Fresh or Wet Hop Ale,2015
1342,Silver,Fresh Hop Superpower IPA,Comrade Brewing Co.,Denver,CO,Fresh or Wet Hop Ale,2015
1343,Bronze,Melvin IPA,Melvin Brewing,Jackson,WY,Fresh or Wet Hop Ale,2015
1344,Gold,Magnolia's Peach,BJ's Restaurant & Brewery - Chandler,Chandler,AZ,Fruit Wheat Beer,2015
1345,Silver,"You're My Boy, Blue!",Brew Bus Brewing,Tampa,FL,Fruit Wheat Beer,2015
1346,Bronze,Purple Line,Smylie Brothers Brewing Co.,Evanston,IL,Fruit Wheat Beer,2015
1347,Gold,Copper Alt,Zipline Brewing Co.,Lincoln,NE,German-Style Altbier,2015
1348,Silver,Generation Alt,Flix Brewhouse - Indy,Carmel,IN,German-Style Altbier,2015
1349,Bronze,Altbier,Liquid Mechanics Brewing Co.,Lafayette,CO,German-Style Altbier,2015
1350,Gold,The Regulator,Rahr & Sons Brewing Co.,Fort Worth,TX,German-Style Doppelbock or Eisbock,2015
1351,Silver,Procrastinator Doppelbock,Fitger's Brewhouse,Duluth,MN,German-Style Doppelbock or Eisbock,2015
1352,Bronze,Hot for Teacher Ms. Doppelbock,Thr3e Wise Men Brewing Co.,Indianapolis,IN,German-Style Doppelbock or Eisbock,2015
1353,Gold,Chuckanut Kolsch Style,Chuckanut Brewery,Bellingham,WA,German-Style Kölsch,2015
1354,Silver,Colorado Kölsch,Steamworks Brewing Co.,Durango,CO,German-Style Kölsch,2015
1355,Bronze,Friar Chuck,Black Bottle Brewery,Fort Collins,CO,German-Style Kölsch,2015
1356,Gold,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,TX,German-Style Märzen,2015
1357,Silver,Antonius 1742 Oktoberfest,Thr3e Wise Men Brewing Co.,Indianapolis,IN,German-Style Märzen,2015
1358,Bronze,Duck-Rabbit Märzen,Duck-Rabbit Craft Brewery,Farmville,NC,German-Style Märzen,2015
1359,Gold,Pivo,Firestone Walker Brewing Co.,Paso Robles,CA,German-Style Pilsener,2015
1360,Silver,Pilsner,pFriem Family Brewers,Hood River,OR,German-Style Pilsener,2015
1361,Bronze,Pilsner,Dry Dock Brewing Co.,Aurora,CO,German-Style Pilsener,2015
1362,Gold,Lobo Negro,Pedernales Brewing Co.,Fredericksburg,TX,German-Style Schwarzbier,2015
1363,Silver,Black Knight,Fat Head's Brewery - N. Olmstead,North Olmsted,OH,German-Style Schwarzbier,2015
1364,Bronze,Eastside,Lakefront Brewery,Milwaukee,WI,German-Style Schwarzbier,2015
1365,Gold,Gose,Reuben's Brews Taproom,Seattle,WA,German-Style Sour Ale,2015
1366,Silver,Volkssekt,Bend Brewing Co.,Bend,OR,German-Style Sour Ale,2015
1367,Bronze,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR,German-Style Sour Ale,2015
1368,Gold,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,TX,German-Style Wheat Ale,2015
1369,Silver,Weizenbock,Kansas City Bier Co.,Kansas City,MO,German-Style Wheat Ale,2015
1370,Bronze,Monkey Business,New Bohemia Brewing Co.,Santa Cruz,CA,German-Style Wheat Ale,2015
1371,Gold,Watchstander Stout,Ghostfish Brewing Co.,Seattle,WA,Gluten-Free Beer,2015
1372,Silver,IPA No. 5,Ground Breaker Brewing,Portland,OR,Gluten-Free Beer,2015
1373,Bronze,Ghostfish Grapefruit IPA,Ghostfish Brewing Co.,Seattle,WA,Gluten-Free Beer,2015
1374,Gold,Sunlight Cream Ale,Sun King Brewing Co.,Indianapolis,IN,Golden or Blonde Ale,2015
1375,Silver,Boxcar Blonde Ale,Heroes Restaurant and Brewery,Riverside,CA,Golden or Blonde Ale,2015
1376,Bronze,Alpine Gold,Tied House Cafe & Brewery - Mtn View,Mountain View,CA,Golden or Blonde Ale,2015
1377,Gold,Garden Party,Free State Brewing Co.,Lawrence,KS,Herb and Spice Beer,2015
1378,Silver,Allergeez,Panther Island Brewing Co.,Fort Worth,TX,Herb and Spice Beer,2015
1379,Bronze,Oatmeal Raisin Cookie Ale,Aftershock Brewing Co.,Temecula,CA,Herb and Spice Beer,2015
1380,Gold,Black Eagle Gratzer,Platform Beer Co.,Cleveland,OH,Historical Beer,2015
1381,Silver,Dortmunder Adambier,Blue Pants Brewery,Madison,AL,Historical Beer,2015
1382,Bronze,Snow Drop,Grimm Brothers Brewhouse,Loveland,CO,Historical Beer,2015
1383,Gold,Electric Stinger,The Tap Beer Co.,Bloomington,IN,Honey Beer,2015
1384,Silver,Honey Chamomile Wheat,Nexus Brewery,Albuquerque,NM,Honey Beer,2015
1385,Bronze,Spring Fever,FiftyFifty Brewing Co.,Truckee,CA,Honey Beer,2015
1386,Gold,Hop JuJu Imperial IPA,Fat Head's Brewery,Middleburg Heights,OH,Imperial India Pale Ale,2015
1387,Silver,Eazy Duz It IIPA,Laurelwood Public House and Brewery,Portland,OR,Imperial India Pale Ale,2015
1388,Bronze,Teahupo'o,Breakwater Brewing Co.,Oceanside,CA,Imperial India Pale Ale,2015
1389,Gold,reDANKulous,Founders Brewing Co.,Grand Rapids,MI,Imperial Red Ale,2015
1390,Silver,Wreak Havoc,Bootstrap Brewing Co.,Niwot,CO,Imperial Red Ale,2015
1391,Bronze,Imperial Red Ale,Marble Brewery,Albuquerque,NM,Imperial Red Ale,2015
1392,Gold,Double Negative,Grimm Artisanal Ales,Brooklyn,NY,Imperial Stout,2015
1393,Silver,Russian Imperial Stout,Iron Hill Brewery & Restaurant - Lancaster,Lancaster,PA,Imperial Stout,2015
1394,Bronze,The Miller's Toll,Raleigh Brewing Co.,Raleigh,NC,Imperial Stout,2015
1395,Gold,Mai Tai P.A.,Alvarado Street Brewery & Grill,Monterey,CA,International-Style Pale Ale,2015
1396,Silver,Rain Delay IPA,JAFB Wooster Brewery,Wooster,OH,International-Style Pale Ale,2015
1397,Bronze,San Diego-Style IPA,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA,International-Style Pale Ale,2015
1398,Gold,TAPS Irish Red,TAPS Fish House & Brewery - Corona,Corona,CA,Irish-Style Red Ale,2015
1399,Silver,Johnny Blood Red,Titletown Brewing Co.,Green Bay,WI,Irish-Style Red Ale,2015
1400,Bronze,Hooligan's Irish Red Ale,Montana Brewing Co.,Billings,MT,Irish-Style Red Ale,2015
1401,Gold,STS Pils,Russian River Brewing Co.,Santa Rosa,CA,Kellerbier or Zwickelbier,2015
1402,Silver,TAPS Kellerbier,TAPS Fish House & Brewery - Brea,Brea,CA,Kellerbier or Zwickelbier,2015
1403,Bronze,Fargo Original,Fargo Brewing Co.,Fargo,ND,Kellerbier or Zwickelbier,2015
1404,Gold,Bucket Seat Blonde,Garage Brewing Co. & Pizzeria,Temecula,CA,Munich-Style Helles,2015
1405,Silver,Long Goodbye,Ahnapee Brewery,Algoma,WI,Munich-Style Helles,2015
1406,Bronze,Goldencold Lager,Susquehanna Brewing Co.,Pittston,PA,Munich-Style Helles,2015
1407,Gold,R & R Oatmeal Stout,Beaver Street Brewery,Flagstaff,AZ,Oatmeal Stout,2015
1408,Silver,Scripps Pier Stout,South Park Brewing - CA,San Diego,CA,Oatmeal Stout,2015
1409,Bronze,Scaredy Cat,Vintage Brewing Co.,Madison,WI,Oatmeal Stout,2015
1410,Gold,Old Scrooge,Silver City Brewery,Bremerton,WA,Old Ale or Strong Ale,2015
1411,Silver,Innsmouth Olde Ale,Narragansett Brewing Co.,Providence,RI,Old Ale or Strong Ale,2015
1412,Bronze,MASSIVE! 2013,Gigantic Brewing Co.,Portland,OR,Old Ale or Strong Ale,2015
1413,Gold,DBA (Double Barrel Ale),Firestone Walker Brewing Co.,Paso Robles,CA,Ordinary or Special Bitter,2015
1414,Silver,Spitfire Best Bitter,Flyers Restaurant and Brewery,Oak Harbor,WA,Ordinary or Special Bitter,2015
1415,Bronze,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,Ordinary or Special Bitter,2015
1416,Gold,Spangalang Table Beer,Spangalang Brewery,Denver,CO,Other Belgian-Style Ale,2015
1417,Silver,Summer Rye Ale,Mayflower Brewing Co.,Plymouth,MA,Other Belgian-Style Ale,2015
1418,Bronze,Witty Moron,Stone Brewing World Bistro & Gardens - Liberty Station,San Diego,CA,Other Belgian-Style Ale,2015
1419,Gold,Ursa Minor,McCoy's Public House,Kansas City,MO,Other Strong Beer,2015
1420,Silver,Humboldt Brownie,Mad River Brewing Co.,Blue Lake,CA,Other Strong Beer,2015
1421,Bronze,Take Back the Streets,Piece Brewery,Chicago,IL,Other Strong Beer,2015
1422,Silver,Pumpkin Grinder,Mankato Brewery,Mankato,MN,Pumpkin Beer,2015
1423,Bronze,The Great Pumpkin Ale,Great Basin Brewing Co. - Sparks,Sparks,NV,Pumpkin Beer,2015
1424,Gold,Recalcitrant Dockhand,Black Star Co-op,Austin,TX,Robust Porter,2015
1425,Silver,Porter,Port City Brewing Co.,Alexandria,VA,Robust Porter,2015
1426,Bronze,Night Watchman,City Star Brewing,Berthoud,CO,Robust Porter,2015
1427,Gold,Blitzkrieg Bock,Fat Head's Brewery - Portland,Portland,OR,Rye Beer,2015
1428,Silver,Concrete Dinosaur,Right Brain Brewery,Traverse City,MI,Rye Beer,2015
1429,Bronze,Pt. Bonita Rustic Lager,Headlands Brewing Co.,Mill Valley,CA,Rye Beer,2015
1430,Gold,MacPelican's Wee Heavy Ale,Pelican Pub & Brewery,Pacific City,OR,Scotch Ale,2015
1431,Silver,Black Lagoon Scottish Strong,Rip Current Brewery,San Marcos,CA,Scotch Ale,2015
1432,Bronze,Real Heavy,Real Ale Brewing Co.,Blanco,TX,Scotch Ale,2015
1433,Gold,Copper John Scotch Ale,Madison River Brewing Co.,Belgrade,MT,Scottish-Style Ale,2015
1434,Silver,Cold Smoke,KettleHouse Brewing Co.,Missoula,MT,Scottish-Style Ale,2015
1435,Bronze,Barrio Rojo,Barrio Brewing Co.,Tucson,AZ,Scottish-Style Ale,2015
1436,Gold,BJ's LightSwitch Lager,BJ's Restaurant & Brewery - Temple,Temple,TX,Session Beer,2015
1437,Silver,MCA,21st Amendment Brewery Cafe,San Francisco,CA,Session Beer,2015
1438,Bronze,Guillaume,Pizza Port Ocean Beach,San Diego,CA,Session Beer,2015
1439,Gold,The Coachman,Societe Brewing Co.,San Diego,CA,Session India Pale Ale,2015
1440,Silver,Size 4,Steel Toe Brewing,St. Louis Park,MN,Session India Pale Ale,2015
1441,Bronze,Nose Candy,Noble Ale Works,Anaheim,CA,Session India Pale Ale,2015
1442,Gold,Smoked Märzen,49th State Brewing Co.,Denali National Park,AK,Smoke Beer,2015
1443,Silver,S.S.A.,Titletown Brewing Co.,Green Bay,WI,Smoke Beer,2015
1444,Bronze,Smokie Robbins,Lager Heads Brewing Co.,Medina,OH,Smoke Beer,2015
1445,Gold,Weißbier,Prost Brewing,Denver,CO,South German-Style Hefeweizen,2015
1446,Silver,Wild Wapiti Wheat,Elk Mountain Brewing Co.,Parker,CO,South German-Style Hefeweizen,2015
1447,Bronze,Windansea Wheat,Karl Strauss Brewing Co.,San Diego,CA,South German-Style Hefeweizen,2015
1448,Gold,Hog Cabin,Great South Bay Brewery,Bay Shore,NY,Specialty Beer,2015
1449,Silver,Hazelnut Brown Nectar,Rogue Ales,Newport,OR,Specialty Beer,2015
1450,Bronze,Pack Dog Peanut Butter Ale,Marley's Brewery & Grille,Bloomsburg,PA,Specialty Beer,2015
1451,Gold,West O CocO,West O Beer,West Okoboji,IA,Sweet Stout or Cream Stout,2015
1452,Silver,Chocolate Milk Stout,Boxing Bear Brewing Co.,Albuquerque,NM,Sweet Stout or Cream Stout,2015
1453,Bronze,The Husstler,Huss Brewing,Tempe,AZ,Sweet Stout or Cream Stout,2015
1454,Gold,Vienna Lager,Devils Backbone Brewing Co. - Outpost,Lexington,VA,Vienna-Style Lager,2015
1455,Silver,Oktoberfest,Stoudts Brewing Co.,Adamstown,PA,Vienna-Style Lager,2015
1456,Bronze,Firebrick,August Schell Brewing Co.,New Ulm,MN,Vienna-Style Lager,2015
1457,Gold,Wild Warehouse,Wander Brewing,Bellingham,WA,Wood- and Barrel-Aged Beer,2015
1458,Silver,Palo Santo Aged Porter,Spellbound Brewing,Mount Holly,NJ,Wood- and Barrel-Aged Beer,2015
1459,Bronze,Barrel Aged Brown Ale,Twin Peaks Brewery,Irving,TX,Wood- and Barrel-Aged Beer,2015
1460,Gold,Veritas 015,The Lost Abbey,San Marcos,CA,Wood- and Barrel-Aged Sour Beer,2015
1461,Silver,24 Frames Per Second,Our Mutual Friend Malt & Brew,Denver,CO,Wood- and Barrel-Aged Sour Beer,2015
1462,Bronze,Sour Opal,Firestone Walker Barrelworks,Buellton,CA,Wood- and Barrel-Aged Sour Beer,2015
1463,Gold,Melange A Trois,Nebraska Brewing Co.,La Vista,NE,Wood- and Barrel-Aged Strong Beer,2015
1464,Silver,Batch 666: Sympathy For The Devil,Sun King Brewing Co.,Indianapolis,IN,Wood- and Barrel-Aged Strong Beer,2015
1465,Bronze,Ska Face,SKA Brewing,Durango,CO,Wood- and Barrel-Aged Strong Beer,2015
1466,Gold,Ctayt,AC Golden Brewing Co.,Golden,CO,Wood- and Barrel-Aged Strong Stout,2015
1467,Silver,Sherry Ink,Rhinegeist Brewing,Cincinnati,OH,Wood- and Barrel-Aged Strong Stout,2015
1468,Bronze,Dosvidanya,DESTIHL - Champaign,Champaign,IL,Wood- and Barrel-Aged Strong Stout,2015
1469,Gold,2012 Great Scot!,Peticolas Brewing Co.,Dallas,TX,Aged Beer,2014
1470,Silver,Saint Bob's Imperial Stout '07,Canteen Brew House,Albuquerque,NM,Aged Beer,2014
1471,Bronze,Brother Dewey's Date Night,College Street Brewhouse & Pub,Lake Havasu City,AZ,Aged Beer,2014
1472,Gold,White IPA,Badger Hill Brewing,St. Louis Park,MN,American-Belgo-Style Ale,2014
1473,Silver,Belgian IPA,Gordon Biersch Brewery Restaurant - Rockville,Rockville,MD,American-Belgo-Style Ale,2014
1474,Bronze,Le Freak,Green Flash Brewing Co.,San Diego,CA,American-Belgo-Style Ale,2014
1475,Gold,Colorado Native Amber Lager,AC Golden,Golden,CO,American-Style Amber Lager,2014
1476,Silver,Colorado Native Golden Lager,AC Golden,Golden,CO,American-Style Amber Lager,2014
1477,Bronze,Rocket Bike Lager,Moab Brewery,Moab,UT,American-Style Amber Lager,2014
1478,Gold,Dougie Style Amber Ale,Canteen Brew House,Albuquerque,NM,American-Style Amber/Red Ale,2014
1479,Silver,Amber Waves Ale,Capitol City Brewing Co.,Arlington,VA,American-Style Amber/Red Ale,2014
1480,Bronze,Rocco Red Ale,Bootlegger's Brewery,Fullerton,CA,American-Style Amber/Red Ale,2014
1481,Gold,Black IPA,Cannonball Creek Brewing Co.,Golden,CO,American-Style Black Ale,2014
1482,Silver,Black Hops Tactical IPA,Überbrew,Billings,MT,American-Style Black Ale,2014
1483,Bronze,Turmoil,Barley Brown's Brew Pub,Baker City,OR,American-Style Black Ale,2014
1484,Gold,Beltane,Propolis Brewing,Port Townsend,WA,American-Style Brett Beer,2014
1485,Silver,Peche 'n Brett,Logsdon Organic Farm Brewery,Hood River,OR,American-Style Brett Beer,2014
1486,Bronze,Curiosity No. 2,Creature Comforts Brewing Co.,Athens,GA,American-Style Brett Beer,2014
1487,Gold,Face Down Brown,Telluride Brewing Co.,Telluride,CO,American-Style Brown Ale,2014
1488,Silver,Braggarts Brown Ale,Diebolt Brewing Co.,Denver,CO,American-Style Brown Ale,2014
1489,Bronze,Upslope Brown Ale,Upslope Brewing Co.,Boulder,CO,American-Style Brown Ale,2014
1490,Gold,Primo,Pabst Brewing Co.,Los Angeles,CA,American-Style Cream Ale,2014
1491,Silver,Old Style,Pabst Brewing Co.,Los Angeles,CA,American-Style Cream Ale,2014
1492,Bronze,Colorado Cream Ale,Station 26 Brewing Co.,Denver,CO,American-Style Cream Ale,2014
1493,Gold,Lagerithm,Bottle Logic Brewing,Anaheim,CA,American-Style Dark Lager,2014
1494,Silver,Old Virginia Dark,Devils Backbone Brewing Co. - Outpost,Lexington,VA,American-Style Dark Lager,2014
1495,Bronze,Shiner Bock,Spoetzl Brewery,Shiner,TX,American-Style Dark Lager,2014
1496,Gold,Raspberry Stout,Hardywood Park Craft Brewery,Richmond,VA,American-Style Fruit Beer,2014
1497,Silver,Sleepyhead Passion Fruit,Coda Brewing Co.,Aurora,CO,American-Style Fruit Beer,2014
1498,Bronze,Apricot,Dry Dock Brewing Co. - North Dock,Aurora,CO,American-Style Fruit Beer,2014
1499,Gold,Breakside IPA,Breakside Brewery,Milwaukie,OR,American-Style India Pale Ale,2014
1500,Silver,GoneAway,Half Acre Beer Co.,Chicago,IL,American-Style India Pale Ale,2014
1501,Bronze,Bodhi,Columbus Brewing Co.,Columbus,OH,American-Style India Pale Ale,2014
1502,Gold,Miller Lite,Miller Brewing Co.,Milwaukee,WI,American-Style Lager or Light Lager,2014
1503,Silver,Coors Light,Coors Brewing Co.,Golden,CO,American-Style Lager or Light Lager,2014
1504,Bronze,Coors Banquet,Coors Brewing Co.,Golden,CO,American-Style Lager or Light Lager,2014
1505,Gold,Pre-Flight Pilsner,Airways Brewing Co.,Kent,WA,American-Style or International-Style Pilsener,2014
